date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover
2017-10-17,9.04,9.05,8.8,8.74,597590.88,-0.31,-3.4,9.036,8.934,8.922,641992.76,451303.79,394514.74,3.74
2017-10-16,9.18,9.32,9.11,9.1,702994.88,-0.08,-0.87,9.062,8.931,8.93,583737.23,417750.78,389671.46,4.41
2017-10-13,9.17,9.26,9.19,9.07,547741.12,-0.04,-0.43,9.014,8.888,8.93,501142.09,382835.93,375044.21,3.43
2017-10-12,8.85,9.26,9.23,8.81,1106011.12,0.38,4.29,8.936,8.846,8.922,435341.06,364610.12,369732.2,6.93
2017-10-11,8.93,8.93,8.85,8.84,255625.81,-0.08,-0.9,8.846,8.813,8.917,265228.26,282377.93,339600.2,1.6
2017-10-10,8.86,8.93,8.93,8.8,306313.22,0.06,0.68,8.832,8.83,8.939,260614.83,297239.84,353479.69,1.92
2017-10-09,8.89,8.9,8.87,8.82,290019.19,0.07,0.8,8.8,8.826,8.954,251764.34,303155.09,364730.6,1.82
2017-09-29,8.8,8.84,8.8,8.78,218735.95,0.02,0.23,8.762,8.841,8.983,264529.77,302148.49,392275.25,1.37
2017-09-28,8.76,8.88,8.78,8.74,255447.11,0.0,0.0,8.756,8.864,9.005,293879.17,320072.29,401239.29,1.6
2017-09-27,8.8,8.82,8.78,8.73,232558.66,0.01,0.11,8.78,8.881,9.026,299527.61,326953.05,408744.27,1.46
2017-09-26,8.67,8.8,8.77,8.64,262060.77,0.09,1.04,8.828,8.909,9.049,333864.85,337725.68,418805.92,1.64
2017-09-25,8.86,8.91,8.68,8.66,353846.38,-0.09,-1.03,8.852,8.929,9.071,354545.84,361592.14,447370.69,2.22
2017-09-22,8.89,8.91,8.77,8.69,365482.94,-0.13,-1.46,8.92,8.971,9.112,339767.21,367252.49,470341.03,2.29
2017-09-21,9.01,9.02,8.9,8.89,283689.28,-0.12,-1.33,8.972,8.998,9.142,346265.41,374854.28,481406.55,1.78
2017-09-20,8.9,9.04,9.02,8.88,404244.88,0.13,1.46,8.982,9.02,9.163,354378.49,396822.46,500622.8,2.53
2017-09-19,9.01,9.02,8.89,8.86,365465.72,-0.13,-1.44,8.99,9.047,9.173,341586.5,409719.54,506094.05,2.29
2017-09-18,9.06,9.09,9.02,8.98,279953.25,-0.01,-0.11,9.006,9.082,9.19,368638.44,426306.11,534247.64,1.75
2017-09-15,9.01,9.1,9.03,8.98,397973.91,0.08,0.89,9.022,9.124,9.217,394737.76,482402.01,555495.99,2.49
2017-09-14,9.08,9.08,8.95,8.93,324254.69,-0.11,-1.21,9.024,9.146,9.239,403443.15,482406.3,587213.94,2.03
2017-09-13,9.01,9.12,9.06,8.98,340284.94,0.09,1.0,9.058,9.17,9.278,439266.43,490535.49,645516.5,2.13
2017-09-12,9.09,9.1,8.97,8.95,500725.41,-0.13,-1.43,9.104,9.189,9.318,477852.57,499886.16,703836.2,3.14
2017-09-11,9.04,9.18,9.1,8.96,410449.84,0.06,0.66,9.158,9.212,9.344,483973.79,533149.24,730715.05,2.57
2017-09-08,9.12,9.18,9.04,9.0,441500.88,-0.08,-0.88,9.226,9.252,9.374,570066.26,573429.57,782798.92,2.77
2017-09-07,9.25,9.26,9.12,9.11,503371.09,-0.17,-1.83,9.268,9.285,9.396,561369.44,587958.82,876108.55,3.15
2017-09-06,9.22,9.35,9.29,9.18,533215.62,0.05,0.54,9.282,9.305,9.403,541804.55,604423.14,918702.61,3.34
2017-09-05,9.41,9.41,9.24,9.18,531331.5,-0.2,-2.12,9.274,9.298,9.396,521919.76,602468.56,940726.28,3.33
2017-09-04,9.37,9.52,9.44,9.31,840912.19,0.19,2.05,9.266,9.298,9.397,582324.69,642189.17,1016142.91,5.27
2017-09-01,9.19,9.26,9.25,9.15,398016.81,0.06,0.65,9.278,9.309,9.382,576792.89,628589.97,1092625.92,2.49
2017-08-31,9.23,9.28,9.19,9.15,405546.62,-0.06,-0.65,9.302,9.331,9.37,614548.21,692021.58,1199705.51,2.54
2017-08-30,9.18,9.26,9.25,9.13,433791.66,0.05,0.54,9.328,9.386,9.319,667041.72,800497.51,1194329.95,2.72
2017-08-29,9.39,9.42,9.2,9.17,833356.19,-0.3,-3.16,9.322,9.447,9.265,683017.37,907786.23,1198695.98,5.22
2017-08-28,9.41,9.53,9.5,9.32,813253.19,0.13,1.39,9.33,9.476,9.221,702053.64,928280.85,1180547.7,5.1
2017-08-25,9.27,9.43,9.37,9.21,586793.38,0.05,0.54,9.34,9.495,9.165,680387.04,992168.27,1171914.86,3.68
2017-08-24,9.25,9.37,9.32,9.1,668014.19,0.1,1.08,9.36,9.507,9.125,769494.95,1164258.28,1163214.52,4.19
2017-08-23,9.22,9.37,9.22,9.19,513669.88,-0.02,-0.22,9.444,9.501,9.095,933953.29,1232982.08,1158205.1,3.22
2017-08-22,9.55,9.57,9.24,9.19,928537.56,-0.31,-3.25,9.572,9.493,9.067,1132555.09,1278984.0,1156562.65,5.82
2017-08-21,9.51,9.66,9.55,9.43,704920.19,0.08,0.84,9.622,9.495,9.035,1154508.07,1390096.65,1137259.52,4.42
2017-08-18,9.68,9.69,9.47,9.43,1032332.94,-0.27,-2.77,9.65,9.455,8.994,1303949.5,1556661.88,1140205.32,6.47
2017-08-17,9.82,10.09,9.74,9.7,1490305.88,-0.12,-1.22,9.654,9.408,8.947,1559021.62,1707389.44,1114632.53,9.34
2017-08-16,9.42,9.87,9.86,9.39,1506678.88,0.37,3.9,9.558,9.252,8.877,1532010.86,1588162.39,1056811.38,9.44
2017-08-15,9.58,9.68,9.49,9.42,1038302.44,-0.2,-2.06,9.414,9.082,8.802,1425412.9,1489605.72,1001969.72,6.51
2017-08-14,9.49,9.73,9.69,9.18,1452127.38,0.2,2.11,9.368,8.965,8.732,1625685.24,1432814.54,967830.27,9.1
2017-08-11,9.3,9.91,9.49,9.1,2307693.5,0.23,2.48,9.26,8.835,8.645,1809374.26,1351661.45,924720.69,14.46
2017-08-10,9.21,9.52,9.26,9.19,1355252.12,0.12,1.31,9.162,8.742,8.594,1855757.26,1162170.77,825334.2,8.49
2017-08-09,9.13,9.32,9.14,9.06,973689.06,-0.12,-1.3,8.946,8.688,8.556,1644313.92,1083428.13,777288.8,6.1
2017-08-08,8.99,9.38,9.26,8.88,2039664.12,0.11,1.2,8.75,8.641,8.519,1553798.54,1034141.3,758211.39,12.78
2017-08-07,9.23,9.23,9.15,8.92,2370572.5,0.15,1.67,8.562,8.574,8.485,1239943.84,884422.39,681872.11,14.86
2017-08-04,8.24,9.0,9.0,8.24,2539608.5,0.82,10.02,8.41,8.532,8.464,893948.64,723748.75,613449.19,15.92
2017-08-03,8.14,8.25,8.18,8.12,298035.44,0.02,0.24,8.322,8.485,8.443,468584.27,521875.63,508492.5,1.87
2017-08-02,8.35,8.38,8.16,8.1,521112.16,-0.16,-1.92,8.43,8.502,8.458,522542.33,525460.36,516500.39,3.27
2017-08-01,8.38,8.46,8.32,8.28,470390.59,-0.07,-0.83,8.532,8.521,8.48,514484.06,514333.71,504440.13,2.95
2017-07-31,8.57,8.63,8.39,8.36,640596.5,-0.17,-1.99,8.586,8.499,8.496,528900.94,502846.01,500657.17,4.01
2017-07-28,8.68,8.71,8.56,8.55,412786.66,-0.16,-1.83,8.654,8.454,8.506,553548.86,497779.92,498657.33,2.59
2017-07-27,8.64,8.74,8.72,8.53,567825.75,0.05,0.58,8.648,8.446,8.518,575166.99,488497.64,500972.85,3.56
2017-07-26,8.58,8.67,8.67,8.45,480820.78,0.08,0.93,8.574,8.424,8.521,528378.38,471149.47,500345.8,3.01
2017-07-25,8.73,8.78,8.59,8.5,542475.0,-0.14,-1.6,8.51,8.396,8.514,514183.36,482281.49,501814.05,3.4
2017-07-24,8.54,8.78,8.73,8.4,763836.12,0.2,2.35,8.412,8.396,8.517,476791.09,479321.84,518557.28,4.79
2017-07-21,8.36,8.59,8.53,8.32,520877.31,0.18,2.16,8.254,8.395,8.499,442010.99,503149.62,509970.62,3.26
2017-07-20,8.32,8.45,8.35,8.3,333882.69,0.0,0.0,8.244,8.4,8.486,401828.28,495109.37,502700.24,2.09
2017-07-19,8.05,8.36,8.35,8.02,409845.69,0.25,3.09,8.274,8.413,8.873,413920.57,507540.42,497261.21,2.57
2017-07-18,7.93,8.13,8.1,7.88,355513.62,0.16,2.02,8.282,8.439,9.276,450379.62,494546.55,496532.11,2.23
2017-07-17,8.51,8.54,7.94,7.92,589935.62,-0.54,-6.37,8.38,8.493,9.712,481852.6,498468.34,489070.79,3.7
2017-07-14,8.48,8.59,8.48,8.39,319963.78,-0.02,-0.23,8.536,8.558,10.158,564288.26,499534.74,479219.85,2.01
