date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover
2017-10-17,7.44,7.52,7.48,7.43,202835.88,0.03,0.4,7.478,7.481,7.497,169203.92,172293.31,247677.43,0.48
2017-10-16,7.47,7.49,7.45,7.44,206218.0,-0.03,-0.4,7.484,7.485,7.504,164091.86,170677.53,252405.47,0.49
2017-10-13,7.48,7.49,7.48,7.45,113931.81,0.01,0.13,7.494,7.496,7.511,167160.33,193712.53,257650.55,0.27
2017-10-12,7.51,7.52,7.47,7.46,158861.0,-0.04,-0.53,7.49,7.499,7.518,170654.39,211915.19,268417.36,0.38
2017-10-11,7.51,7.52,7.51,7.48,164172.92,0.0,0.0,7.49,7.499,7.527,179333.99,210517.38,274315.59,0.39
2017-10-10,7.5,7.52,7.51,7.48,177275.58,0.01,0.13,7.484,7.5,7.539,175382.7,234291.5,284783.33,0.42
2017-10-09,7.53,7.55,7.5,7.5,221560.34,0.04,0.54,7.486,7.494,7.548,177263.19,260331.71,284732.47,0.52
2017-09-29,7.46,7.5,7.46,7.45,131402.12,-0.01,-0.13,7.498,7.493,7.558,220264.73,278216.88,286947.76,0.31
2017-09-28,7.49,7.49,7.47,7.42,202259.0,-0.01,-0.13,7.508,7.499,7.57,253175.99,292575.87,293778.5,0.48
2017-09-27,7.5,7.52,7.48,7.47,144416.45,-0.04,-0.53,7.508,7.503,7.583,241700.77,310159.76,301393.72,0.34
2017-09-26,7.54,7.55,7.52,7.48,186678.06,-0.04,-0.53,7.516,7.513,7.597,293200.31,323061.55,306871.73,0.44
2017-09-25,7.49,7.58,7.56,7.45,436568.0,0.05,0.67,7.502,7.522,7.61,343400.23,334133.41,311256.38,1.03
2017-09-22,7.45,7.53,7.51,7.41,295958.44,0.04,0.54,7.488,7.526,7.622,336169.03,321588.56,322630.22,0.7
2017-09-21,7.51,7.51,7.47,7.47,144882.92,-0.05,-0.67,7.49,7.536,7.635,331975.74,324919.52,329762.44,0.34
2017-09-20,7.43,7.55,7.52,7.42,401914.12,0.07,0.94,7.498,7.555,7.643,378618.76,338113.8,333841.63,0.95
