date,p_change,TOR,TOR_3,TOR_5,TOR_10,TOR_15
2017-10-17,0.72,1.04,0.833,1.048,1.091,1.029
2017-10-16,-0.67,1.46,1.01,1.0,1.083,1.016
2017-10-13,2.92,1.57,0.913,0.93,1.0,1.025
2017-10-12,2.48,1.17,0.657,1.082,1.015,0.964
2017-10-11,-0.1,0.8,0.637,0.958,0.961,0.927
2017-10-10,-0.35,1.11,1.147,0.974,0.94,0.934
2017-10-09,-2.03,2.33,0.96,0.944,0.913,0.981
2017-09-29,0.65,0.55,0.477,0.604,0.839,0.906
2017-09-28,-0.25,0.88,0.613,0.838,0.85,0.934
2017-09-27,3.65,0.96,0.53,0.788,0.824,0.96
2017-09-26,0.47,0.63,0.783,0.714,0.818,0.976
2017-09-25,-4.35,1.72,0.783,0.756,0.936,1.023
2017-09-22,0.45,0.63,0.407,0.73,0.885,0.964
2017-09-21,-0.69,0.59,0.477,0.736,0.919,1.023
2017-09-20,0.55,0.84,0.81,0.742,0.987,1.055
2017-09-19,-3.03,1.59,0.75,0.754,1.023,1.081
2017-09-18,0.05,0.66,0.427,0.798,0.998,1.101
2017-09-15,0.05,0.62,0.507,0.908,1.015,1.145
2017-09-14,0.34,0.9,0.903,0.978,1.104,1.277
2017-09-13,-3.63,1.81,1.007,1.052,1.122,1.258
2017-09-12,-0.33,1.21,0.727,0.93,1.064,1.174
2017-09-11,-0.32,0.97,0.747,0.956,1.132,1.134
2017-09-08,1.12,1.27,0.823,0.928,1.167,1.117
2017-09-07,-2.28,1.2,0.847,0.976,1.299,1.112
2017-09-06,-2.28,1.34,0.723,0.952,1.241,1.137
2017-09-05,0.09,0.83,0.78,0.93,1.162,1.131
2017-09-04,2.1,1.51,0.863,1.142,1.14,1.164
2017-09-01,1.53,1.08,0.77,1.104,1.061,1.168
2017-08-31,-1.14,1.23,1.04,1.406,1.072,1.222
2017-08-30,0.69,1.89,1.07,1.284,1.107,1.259
2017-08-29,0.7,1.32,1.303,1.016,1.042,1.263
2017-08-28,6.42,2.59,1.07,0.874,1.043,1.223
2017-08-25,0.15,0.62,0.39,0.5,0.941,1.115
2017-08-24,-0.1,0.55,0.387,0.614,1.068,1.113
2017-08-23,1.2,0.61,0.443,0.82,1.192,1.14
2017-08-22,-1.24,0.72,0.637,0.946,1.325,1.193
2017-08-21,0.85,1.19,0.923,1.068,1.325,1.239
2017-08-18,-2.43,1.58,0.94,1.144,1.304,1.199
2017-08-17,-2.0,1.24,0.857,1.206,1.205,1.151
2017-08-16,0.48,1.33,0.967,1.316,1.176,1.119
2017-08-15,0.38,1.57,1.153,1.438,1.183,1.096
2017-08-14,6.99,1.89,1.227,1.268,1.167,1.065
2017-08-11,-1.27,1.79,1.243,1.086,1.037,0.99
2017-08-10,4.34,1.94,0.887,0.846,0.945,0.929
2017-08-09,-1.36,0.72,0.567,0.648,0.826,0.907
2017-08-08,4.08,0.98,0.523,0.784,0.853,0.983
2017-08-07,-0.97,0.59,0.513,0.87,0.865,1.019
2017-08-04,-0.59,0.95,0.783,0.87,0.883,1.019
2017-08-03,-2.96,1.4,0.937,0.854,0.876,1.015
2017-08-02,0.1,1.41,0.667,0.724,0.897,1.031
2017-08-01,0.05,0.59,0.487,0.64,0.942,1.009
2017-07-31,0.73,0.87,0.54,0.742,1.034,1.033
2017-07-28,-0.78,0.75,0.58,0.722,1.007,1.024
2017-07-27,4.06,0.99,0.697,0.748,1.02,1.011
2017-07-26,-3.09,1.1,0.623,0.872,1.085,0.985
2017-07-25,-0.62,0.77,0.55,1.024,1.083,0.961
2017-07-24,1.05,0.88,0.83,1.172,1.102,0.967
2017-07-21,-2.26,1.61,1.157,1.116,1.087,0.987
2017-07-20,4.29,1.86,1.123,0.97,0.982,1.017
2017-07-19,4.19,1.51,0.703,0.926,0.855,0.953
2017-07-18,-0.56,0.6,0.493,0.84,0.778,0.929
2017-07-17,-2.28,0.88,0.84,0.912,0.804,1.017
2017-07-14,1.71,1.64,0.907,0.882,0.834,1.048
2017-07-13,-2.32,1.08,0.68,0.666,0.876,1.034
2017-07-12,0.6,0.96,0.563,0.568,0.859,1.026
2017-07-11,-0.11,0.73,0.43,0.524,0.878,1.021
2017-07-10,-0.65,0.56,0.383,0.55,0.996,1.033
2017-07-07,-0.38,0.59,0.443,0.674,1.075,1.039
2017-07-06,-0.32,0.74,0.533,0.968,1.159,1.041
2017-07-05,2.02,0.86,0.68,1.002,1.181,1.043
