date,p_change,TOR,TOR_3,TOR_5,TOR_10,TOR_15
2017-10-17,-0.31,0.07,0.06,0.06,0.07,0.074
2017-10-16,0.47,0.11,0.06,0.062,0.068,0.073
2017-10-13,-0.63,0.07,0.04,0.052,0.062,0.07
2017-10-12,-0.31,0.05,0.043,0.066,0.067,0.071
2017-10-11,0.0,0.08,0.047,0.068,0.071,0.075
2017-10-10,0.47,0.06,0.067,0.064,0.073,0.075
2017-10-09,1.11,0.14,0.067,0.062,0.072,0.075
2017-09-29,-0.16,0.06,0.04,0.044,0.065,0.077
2017-09-28,-0.32,0.06,0.037,0.056,0.068,0.083
2017-09-27,-0.32,0.05,0.033,0.062,0.073,0.085
2017-09-26,0.16,0.05,0.057,0.072,0.076,0.087
2017-09-25,-0.63,0.12,0.07,0.072,0.077,0.092
2017-09-22,-0.47,0.09,0.063,0.062,0.082,0.095
2017-09-21,0.16,0.1,0.05,0.062,0.088,0.096
2017-09-20,-0.16,0.05,0.04,0.064,0.086,0.098
2017-09-19,0.16,0.07,0.053,0.07,0.089,0.105
2017-09-18,0.16,0.09,0.067,0.068,0.095,0.113
2017-09-15,-0.31,0.11,0.063,0.084,0.103,0.118
2017-09-14,-0.31,0.08,0.047,0.092,0.102,0.128
2017-09-13,-0.31,0.06,0.077,0.092,0.107,0.145
2017-09-12,-0.15,0.17,0.107,0.096,0.117,0.152
2017-09-11,-0.61,0.15,0.077,0.088,0.119,0.157
2017-09-08,-0.15,0.08,0.053,0.092,0.12,0.154
2017-09-07,-0.61,0.08,0.07,0.096,0.138,0.155
2017-09-06,-0.91,0.13,0.1,0.106,0.163,0.155
2017-09-05,1.38,0.17,0.09,0.112,0.167,0.154
2017-09-04,0.93,0.1,0.077,0.116,0.175,0.15
2017-09-01,-1.07,0.13,0.097,0.128,0.175,0.155
2017-08-31,-0.15,0.16,0.117,0.154,0.171,0.151
2017-08-30,-1.65,0.19,0.117,0.188,0.164,0.155
2017-08-29,0.76,0.16,0.14,0.184,0.156,0.15
2017-08-28,0.61,0.26,0.197,0.202,0.151,0.145
2017-08-25,3.63,0.33,0.167,0.17,0.142,0.133
2017-08-24,-1.86,0.17,0.14,0.122,0.117,0.117
2017-08-23,1.74,0.25,0.117,0.106,0.121,0.115
2017-08-22,-0.16,0.1,0.063,0.078,0.108,0.114
2017-08-21,0.63,0.09,0.06,0.08,0.107,0.125
2017-08-18,-0.94,0.09,0.067,0.096,0.106,0.135
2017-08-17,0.79,0.11,0.073,0.094,0.105,0.139
2017-08-16,-1.25,0.11,0.093,0.114,0.108,0.138
2017-08-15,1.27,0.17,0.083,0.116,0.121,0.141
2017-08-14,0.16,0.08,0.097,0.1,0.131,0.145
2017-08-11,-2.17,0.21,0.11,0.1,0.146,0.154
2017-08-10,-0.92,0.12,0.07,0.074,0.14,0.156
2017-08-09,-0.46,0.09,0.057,0.078,0.138,0.163
2017-08-08,0.61,0.08,0.053,0.108,0.144,0.177
2017-08-07,0.0,0.08,0.073,0.146,0.16,0.197
2017-08-04,-0.92,0.14,0.127,0.176,0.173,0.215
2017-08-03,-2.67,0.24,0.17,0.178,0.183,0.26
2017-08-02,0.0,0.27,0.167,0.15,0.182,0.269
2017-08-01,1.35,0.23,0.127,0.126,0.185,0.268
2017-07-31,-0.3,0.15,0.083,0.128,0.199,0.277
2017-07-28,0.3,0.1,0.083,0.14,0.219,0.286
2017-07-27,-0.45,0.15,0.13,0.168,0.291,0.287
2017-07-26,-0.89,0.24,0.15,0.184,0.313,0.282
2017-07-25,-0.44,0.21,0.15,0.196,0.315,0.273
2017-07-24,-0.44,0.24,0.157,0.228,0.331,0.264
2017-07-21,-0.85,0.23,0.177,0.25,0.335,0.258
2017-07-20,1.14,0.3,0.223,0.368,0.323,0.248
2017-07-19,-0.57,0.37,0.24,0.382,0.301,0.233
2017-07-18,-0.85,0.35,0.39,0.36,0.274,0.215
2017-07-17,6.14,0.82,0.397,0.364,0.247,0.202
2017-07-14,2.14,0.37,0.21,0.256,0.18,0.155
2017-07-13,1.71,0.26,0.21,0.204,0.151,0.14
2017-07-12,1.74,0.37,0.217,0.168,0.133,0.131
2017-07-11,1.94,0.28,0.13,0.114,0.105,0.123
2017-07-10,-0.16,0.11,0.063,0.074,0.093,0.109
2017-07-07,-0.16,0.08,0.06,0.082,0.093,0.107
2017-07-06,-0.48,0.1,0.06,0.082,0.1,0.107
2017-07-05,0.81,0.08,0.077,0.078,0.103,0.106
2017-07-04,-0.96,0.15,0.077,0.08,0.12,0.106
2017-07-03,-0.48,0.08,0.053,0.082,0.112,0.1
2017-06-30,-0.16,0.08,0.057,0.088,0.112,0.099
2017-06-29,-0.16,0.09,0.083,0.102,0.112,0.102
2017-06-28,0.48,0.16,0.09,0.11,0.111,0.111
2017-06-27,0.48,0.11,0.087,0.128,0.103,0.106
2017-06-26,0.64,0.15,0.093,0.12,0.098,0.108
2017-06-23,0.65,0.13,0.127,0.106,0.09,0.103
2017-06-22,0.65,0.25,0.107,0.096,0.089,0.102
2017-06-21,0.16,0.07,0.05,0.062,0.086,0.098
2017-06-20,-0.49,0.08,0.053,0.064,0.088,0.105
2017-06-19,0.66,0.08,0.053,0.06,0.094,0.109
2017-06-16,0.0,0.08,0.053,0.058,0.093,0.114
2017-06-15,0.16,0.08,0.047,0.066,0.097,0.131
2017-06-14,-0.33,0.06,0.043,0.094,0.108,0.133
2017-06-13,-0.16,0.07,0.063,0.1,0.119,0.138
2017-06-12,-0.65,0.12,0.113,0.114,0.126,0.138
2017-06-09,0.98,0.22,0.103,0.104,0.13,0.133
2017-06-08,0.0,0.09,0.077,0.084,0.142,0.124
2017-06-07,0.33,0.14,0.07,0.104,0.143,0.123
2017-06-06,0.49,0.07,0.063,0.11,0.143,0.121
2017-06-05,-0.82,0.12,0.103,0.124,0.143,0.125
2017-06-02,-1.29,0.19,0.12,0.132,0.136,0.13
2017-06-01,0.0,0.17,0.103,0.162,0.125,0.126
2017-05-31,0.16,0.14,0.1,0.148,0.115,0.124
2017-05-26,-0.32,0.16,0.167,0.148,0.113,0.119
2017-05-25,3.51,0.34,0.147,0.13,0.109,0.114
2017-05-24,-0.33,0.1,0.08,0.072,0.095,0.097
2017-05-23,2.04,0.14,0.07,0.068,0.098,0.099
2017-05-22,-0.84,0.07,0.04,0.054,0.098,0.094
2017-05-19,0.17,0.05,0.043,0.064,0.097,0.093
2017-05-18,-1.33,0.08,0.05,0.078,0.101,0.094
2017-05-17,-0.82,0.07,0.063,0.102,0.102,0.099
2017-05-16,-0.17,0.12,0.08,0.114,0.107,0.111
2017-05-15,-1.14,0.12,0.107,0.118,0.102,0.107
2017-05-12,2.85,0.2,0.11,0.106,0.095,0.105
2017-05-11,1.36,0.13,0.09,0.084,0.082,0.097
2017-05-10,0.0,0.14,0.067,0.076,0.084,0.095
2017-05-09,0.34,0.06,0.05,0.072,0.096,0.094
2017-05-08,0.51,0.09,0.06,0.074,0.096,0.096
2017-05-05,-0.51,0.09,0.07,0.066,0.095,0.099
2017-05-04,-0.68,0.12,0.063,0.062,0.095,0.1
2017-05-03,-1.0,0.07,0.04,0.068,0.093,0.096
2017-05-02,-0.83,0.05,0.04,0.106,0.098,0.097
2017-04-28,0.33,0.07,0.073,0.108,0.102,0.097
2017-04-27,-0.33,0.15,0.137,0.11,0.109,0.097
2017-04-26,-2.75,0.26,0.107,0.098,0.104,0.091
2017-04-25,0.32,0.06,0.047,0.066,0.084,0.079
2017-04-24,-1.12,0.08,0.057,0.078,0.086,0.081
2017-04-21,1.79,0.09,0.063,0.08,0.084,0.083
2017-04-20,-0.65,0.1,0.073,0.09,0.082,0.081
