date,p_change,TOR,TOR_3,TOR_5,TOR_10,TOR_15
2017-10-17,0.84,0.99,1.127,1.368,1.071,0.855
2017-10-16,2.03,2.39,1.147,1.26,1.022,0.857
2017-10-13,-0.8,1.05,1.153,0.89,0.815,0.72
2017-10-12,4.68,2.41,0.953,0.84,0.745,0.673
2017-10-11,-0.68,0.45,0.33,0.532,0.544,0.547
2017-10-10,0.1,0.54,0.447,0.684,0.553,0.541
2017-10-09,-0.57,0.8,0.557,0.676,0.601,0.525
2017-09-29,0.47,0.87,0.693,0.58,0.555,0.503
2017-09-28,1.86,1.21,0.57,0.476,0.503,0.475
2017-09-27,1.02,0.5,0.273,0.314,0.434,0.433
2017-09-26,0.59,0.32,0.223,0.322,0.419,0.443
2017-09-25,-0.43,0.35,0.25,0.462,0.417,0.468
2017-09-22,-0.54,0.4,0.313,0.46,0.43,0.477
2017-09-21,-1.53,0.54,0.52,0.45,0.434,0.52
2017-09-20,2.15,1.02,0.453,0.446,0.438,0.535
2017-09-19,-0.48,0.34,0.23,0.312,0.401,0.499
2017-09-18,-0.27,0.35,0.29,0.304,0.437,0.521
2017-09-15,0.97,0.52,0.29,0.33,0.451,0.547
2017-09-14,-0.22,0.35,0.217,0.314,0.503,0.586
2017-09-13,0.11,0.3,0.26,0.36,0.545,0.593
2017-09-12,-0.96,0.48,0.307,0.43,0.562,0.614
2017-09-11,0.65,0.44,0.34,0.474,0.581,0.614
2017-09-08,-0.8,0.58,0.41,0.484,0.612,0.621
2017-09-07,-1.63,0.65,0.45,0.576,0.664,0.633
2017-09-06,0.69,0.7,0.397,0.6,0.645,0.658
2017-09-05,-1.51,0.49,0.51,0.554,0.636,0.722
2017-09-04,1.96,1.04,0.603,0.59,0.635,0.798
2017-09-01,-0.58,0.77,0.413,0.532,0.586,0.798
2017-08-31,-1.04,0.47,0.38,0.598,0.584,0.811
2017-08-30,0.53,0.67,0.473,0.596,0.64,0.88
2017-08-29,-2.16,0.75,0.617,0.584,0.739,0.901
2017-08-28,1.94,1.1,0.52,0.53,0.827,0.893
2017-08-25,1.27,0.46,0.357,0.42,0.821,0.919
2017-08-24,-1.2,0.61,0.363,0.478,0.871,0.985
2017-08-23,0.21,0.48,0.343,0.562,0.961,1.151
2017-08-22,-0.26,0.55,0.433,0.798,1.011,1.145
2017-08-21,-0.36,0.75,0.593,1.014,1.019,1.171
2017-08-18,-2.39,1.03,0.897,1.072,1.093,1.17
2017-08-17,-0.56,1.66,1.097,1.058,1.135,1.16
2017-08-16,3.19,1.63,0.89,1.028,1.279,1.091
2017-08-15,0.68,1.04,0.667,0.898,1.155,1.047
2017-08-14,1.44,0.96,0.823,0.816,1.145,1.025
