date,p_change,TOR,TOR_3,TOR_5,TOR_10,TOR_15
2017-10-17,-2.12,16.96,17.26,20.894,17.23,15.696
2017-10-16,-6.04,34.82,25.26,19.76,16.478,15.441
2017-10-13,10.01,40.96,17.563,15.188,14.542,14.712
2017-10-12,-1.81,11.73,7.673,10.554,11.741,13.347
2017-10-11,-1.16,11.29,7.75,11.69,11.538,13.896
2017-10-10,-0.16,11.96,9.917,11.308,11.968,14.683
2017-10-09,1.92,17.79,11.733,10.804,12.085,16.456
2017-09-29,4.1,17.41,8.93,10.338,12.695,17.109
2017-09-28,-2.29,9.38,6.273,9.446,13.002,17.737
2017-09-27,0.92,9.44,8.3,9.51,14.061,19.893
2017-09-26,1.43,15.46,9.47,10.74,15.427,22.675
2017-09-25,0.94,12.95,7.55,10.274,17.736,22.646
2017-09-22,0.41,9.7,8.43,12.462,19.199,22.762
2017-09-21,-4.07,15.59,9.573,14.618,20.913,23.953
2017-09-20,0.14,13.13,12.34,15.494,23.525,24.937
2017-09-19,-5.31,23.89,14.79,17.488,27.329,25.685
2017-09-18,1.47,20.48,13.483,20.42,26.443,25.377
2017-09-15,0.72,19.97,14.357,21.84,25.864,25.959
2017-09-14,-2.69,23.1,20.55,23.214,26.623,26.297
2017-09-13,6.46,38.55,22.043,26.936,27.348,26.068
2017-09-12,-2.79,27.58,18.14,29.46,25.929,25.14
2017-09-11,-1.1,26.84,22.85,26.95,25.097,24.983
2017-09-08,1.52,41.71,30.96,24.52,25.334,25.013
2017-09-07,8.13,51.17,22.067,21.69,23.667,25.295
2017-09-06,-1.04,15.03,9.907,17.526,20.517,24.859
2017-09-05,-1.77,14.69,14.083,19.392,21.477,25.239
2017-09-04,2.15,27.56,19.303,20.306,22.53,25.489
2017-09-01,-0.95,30.35,18.237,20.636,22.504,24.36
2017-08-31,4.58,24.36,14.54,19.574,24.062,23.319
2017-08-30,-2.12,19.26,16.157,18.636,26.089,22.451
2017-08-29,-1.88,29.21,18.083,19.71,26.236,22.071
2017-08-28,3.77,25.04,14.903,18.912,25.159,20.855
2017-08-25,0.16,19.67,14.767,19.364,23.718,20.031
2017-08-24,1.09,24.63,16.617,24.616,23.225,19.564
2017-08-23,-2.59,25.22,17.507,28.616,21.895,19.149
2017-08-22,-4.49,27.3,24.41,27.718,20.73,19.339
2017-08-21,3.05,45.93,30.187,25.946,19.097,19.028
2017-08-18,10.0,44.63,21.787,18.886,15.772,17.511
2017-08-17,2.73,20.73,13.057,12.908,12.575,15.279
2017-08-16,2.89,18.44,9.69,11.028,12.343,14.805
2017-08-15,-0.66,10.63,8.457,10.054,13.305,14.827
2017-08-14,3.79,14.74,8.69,10.122,14.506,15.107
2017-08-11,0.68,11.33,8.3,9.71,15.349,15.656
2017-08-10,-3.01,13.57,8.18,9.976,15.331,16.805
2017-08-09,-0.71,10.97,7.883,10.944,15.336,17.067
2017-08-08,0.84,12.68,8.447,14.362,16.117,17.047
2017-08-07,-0.33,12.66,10.357,16.354,16.332,17.212
2017-08-04,-4.89,18.41,15.49,18.456,17.363,17.416
2017-08-03,3.33,28.06,16.9,17.004,18.378,17.211
2017-08-02,-0.55,22.64,15.27,14.116,17.322,16.131
2017-08-01,4.26,23.17,11.44,13.344,16.126,15.408
2017-07-31,-1.33,11.15,8.257,11.676,15.324,15.368
2017-07-28,-2.47,13.62,10.8,14.04,15.781,15.455
2017-07-27,0.45,18.78,11.203,17.028,15.952,15.699
2017-07-26,-0.72,14.83,12.6,16.772,15.26,15.895
2017-07-25,-2.05,22.97,17.177,15.942,14.957,15.968
2017-07-24,10.01,28.56,15.353,14.378,14.917,15.417
2017-07-21,1.75,17.5,9.393,11.81,13.306,14.452
2017-07-20,-0.81,10.68,8.61,11.376,13.284,14.272
2017-07-19,2.27,15.15,10.29,11.612,14.389,14.734
2017-07-18,5.53,15.72,10.35,10.942,14.466,15.23
2017-07-17,-10.0,15.33,9.063,12.312,14.364,15.78
2017-07-14,-3.36,11.86,7.887,11.736,14.24,17.165
2017-07-13,-4.19,11.8,11.457,12.82,14.534,17.891
2017-07-12,1.69,22.57,11.673,14.806,15.115,18.623
2017-07-11,-2.06,12.45,9.91,13.476,15.117,19.411
2017-07-10,-2.48,17.28,13.003,13.926,16.269,20.649
2017-07-07,2.55,21.73,12.55,13.288,18.152,22.186
2017-07-06,-2.6,15.92,10.207,11.902,18.254,24.151
2017-07-05,-1.12,14.7,9.597,12.24,18.939,26.576
2017-07-04,1.61,14.09,9.63,13.818,20.908,27.946
2017-07-03,0.31,14.8,10.803,15.794,22.601,29.737
2017-06-30,-2.53,17.61,13.4,20.056,25.155,31.73
2017-06-29,-2.48,22.59,15.52,21.084,28.515,34.959
2017-06-28,-3.91,23.97,20.027,21.12,31.485,36.393
2017-06-27,7.07,36.11,19.62,23.204,32.613,38.468
2017-06-26,0.28,22.75,15.173,22.186,33.098,40.257
2017-06-23,-2.23,22.77,19.053,25.704,35.292,41.374
2017-06-22,-4.61,34.39,21.803,31.392,39.619,43.019
2017-06-21,-3.91,31.02,23.787,34.972,40.591,43.082
2017-06-20,-6.7,40.34,30.517,35.818,42.998,41.759
2017-05-25,4.67,51.21,34.5,35.942,45.259,39.959
2017-05-24,10.01,52.29,29.18,34.638,44.088,37.757
2017-05-23,-8.45,35.25,25.403,37.388,43.603,35.731
2017-05-22,-3.28,40.96,28.55,39.16,43.612,34.829
2017-05-19,-6.69,44.69,36.91,41.986,40.634,33.785
2017-05-18,9.99,66.04,36.717,45.638,37.498,32.199
2017-05-17,-6.0,44.11,33.067,40.33,32.713,30.321
2017-05-16,2.38,55.09,39.347,40.996,30.491,29.679
2017-05-15,10.0,62.95,34.15,37.046,27.155,28.073
2017-05-12,10.0,39.5,28.98,26.692,23.39,25.571
2017-05-11,10.01,47.44,27.593,21.458,21.529,24.306
2017-05-10,6.01,35.34,15.507,15.608,20.572,23.161
2017-05-09,9.99,11.18,8.17,12.918,20.486,21.905
2017-05-08,-7.31,13.33,10.507,15.028,22.468,22.461
2017-05-05,-7.57,18.19,13.36,17.422,23.678,22.415
2017-05-04,-0.44,21.89,14.54,17.962,23.911,22.939
2017-05-03,-4.13,21.73,15.677,21.158,24.749,23.631
2017-05-02,3.21,25.3,15.397,23.708,24.225,23.686
2017-04-28,-2.56,20.89,19.587,24.848,23.648,25.451
2017-04-27,0.91,37.87,24.117,25.756,22.823,28.112
2017-04-26,6.14,34.48,21.827,22.286,21.641,27.699
2017-04-25,5.16,31.0,18.81,21.444,21.42,27.498
2017-04-24,3.93,25.43,15.317,18.542,20.575,27.021
2017-04-21,-5.28,20.52,16.93,17.362,23.21,26.553
2017-04-20,3.21,30.27,15.587,15.786,27.238,26.134
2017-04-19,10.0,16.49,12.007,14.942,27.378,25.514
2017-04-18,-9.71,19.53,10.723,18.098,28.876,25.573
2017-04-17,-9.99,12.64,12.897,18.702,29.307,25.301
2017-04-14,-7.82,26.05,19.44,26.53,29.884,25.596
2017-04-13,-0.75,32.27,18.273,33.48,28.703,25.955
2017-04-12,-10.0,22.55,24.777,33.36,27.573,25.892
2017-04-11,0.17,51.78,37.527,35.144,27.056,27.429
2017-04-10,3.09,60.8,30.823,29.556,23.423,26.833
2017-04-07,9.99,31.67,21.047,21.078,19.049,26.997
2017-04-06,1.21,31.47,18.437,17.592,19.025,28.187
2017-04-05,10.01,23.84,14.083,15.492,19.011,29.748
2017-03-31,-7.21,18.41,10.883,14.2,21.188,30.649
2017-03-30,-2.13,14.24,11.737,13.608,23.63,32.417
2017-03-29,0.46,20.97,12.783,14.172,28.533,36.057
2017-03-28,-5.52,17.38,10.943,16.264,31.387,34.865
2017-03-27,-2.45,15.45,10.837,19.054,35.138,33.729
2017-03-24,-0.71,17.06,16.163,25.086,37.329,32.715
2017-03-23,-5.14,31.43,20.92,30.24,40.115,31.6
2017-03-22,-1.54,31.33,25.647,36.608,43.857,29.527
2017-03-21,4.14,45.61,29.48,40.244,41.032,27.449
2017-03-20,-6.45,42.83,35.367,42.1,36.505,24.418
2017-03-17,6.45,63.27,37.593,41.006,32.246,21.569
2017-03-16,9.99,49.51,34.8,37.336,25.953,17.36
2017-03-15,10.0,54.89,30.75,41.204,21.036,14.061
2017-03-14,-2.12,37.36,27.427,30.842,15.562,10.404
2017-03-13,-2.22,44.92,37.923,23.438,11.841,7.914
