date,p_change,TOR,TOR_3,TOR_5,TOR_10,TOR_15
2017-10-17,0.1,0.66,0.803,1.156,1.483,1.397
2017-10-16,-3.8,1.75,1.033,1.56,1.517,1.449
2017-10-13,-0.57,1.35,1.123,1.844,1.458,1.443
2017-10-12,1.39,2.02,1.567,1.776,1.475,1.473
2017-10-11,-1.32,2.68,1.95,1.556,1.404,1.557
2017-10-10,4.08,3.17,1.393,1.274,1.249,1.691
2017-10-09,1.45,1.01,0.643,0.84,1.076,1.643
2017-09-29,0.5,0.92,0.73,0.87,1.142,1.796
2017-09-28,-2.4,1.27,0.757,0.99,1.23,1.878
2017-09-27,0.05,1.0,0.72,0.998,1.431,2.142
2017-09-26,-1.78,1.16,0.893,1.024,1.799,2.243
2017-09-25,1.76,1.52,0.943,1.08,1.929,2.327
2017-09-22,-1.92,1.31,0.813,1.11,2.107,2.312
2017-09-21,-0.81,1.13,0.857,1.208,2.191,2.312
2017-09-20,1.2,1.44,1.037,1.638,2.601,2.337
2017-09-19,-1.28,1.67,1.157,2.286,2.708,2.423
2017-09-18,0.05,1.8,1.693,2.444,2.783,2.353
2017-09-15,-4.37,3.28,2.653,2.744,2.733,2.282
2017-09-14,3.24,4.68,2.38,2.518,2.536,2.136
2017-09-13,0.33,2.46,1.92,2.628,2.218,1.891
2017-09-12,2.36,3.3,1.817,2.638,2.246,1.763
2017-09-11,-0.86,2.15,2.46,2.462,1.978,1.585
2017-09-08,3.62,5.23,2.58,2.292,1.836,1.498
2017-09-07,0.1,2.51,1.643,1.508,1.422,1.208
2017-09-06,1.15,2.42,1.24,1.306,1.272,1.097
2017-09-05,1.22,1.3,0.87,1.37,1.083,1.036
2017-09-04,-0.81,1.31,0.937,1.234,1.016,1.061
2017-09-01,-1.39,1.5,1.413,1.118,0.97,1.017
2017-08-31,2.29,2.74,1.12,1.036,0.908,0.973
2017-08-30,0.56,0.62,0.45,0.69,0.719,0.865
2017-08-29,-0.81,0.73,0.607,0.672,0.807,0.963
2017-08-28,0.41,1.09,0.7,0.652,0.901,1.02
2017-08-25,1.81,1.01,0.513,0.604,0.857,1.07
2017-08-24,-0.52,0.53,0.387,0.578,0.84,1.223
2017-08-23,-1.02,0.63,0.493,0.642,0.9,1.237
2017-08-22,-1.46,0.85,0.577,0.816,1.046,1.247
2017-08-21,1.48,0.88,0.577,0.98,1.119,1.256
2017-08-18,-1.41,0.85,0.783,0.934,1.215,1.286
2017-08-17,0.51,1.5,1.057,0.932,1.461,1.304
2017-08-16,2.33,1.67,0.773,0.858,1.384,1.271
2017-08-15,-0.26,0.65,0.497,0.942,1.296,1.268
2017-08-14,1.15,0.84,0.657,1.128,1.329,1.299
2017-08-11,-1.94,1.13,1.073,1.328,1.378,1.34
2017-08-10,-2.79,2.09,1.223,1.764,1.377,1.341
2017-08-09,-1.85,1.58,1.14,1.492,1.268,1.288
2017-08-08,0.0,1.84,1.717,1.334,1.273,1.292
2017-08-07,5.46,3.31,1.347,1.162,1.201,1.295
2017-08-04,-0.51,0.73,0.507,0.766,1.015,1.215
2017-08-03,0.0,0.79,0.59,0.844,1.057,1.439
2017-08-02,0.0,0.98,0.77,0.886,1.107,1.752
2017-08-01,-1.36,1.33,0.817,1.016,1.173,2.128
2017-07-31,-1.15,1.12,0.707,0.974,1.229,2.204
2017-07-28,0.15,1.0,0.877,1.04,1.327,2.397
2017-07-27,0.55,1.63,0.917,1.07,1.637,2.476
2017-07-26,-1.49,1.12,0.857,1.002,2.022,2.462
2017-07-25,2.02,1.45,0.867,1.106,2.572,2.527
2017-07-24,-0.15,1.15,0.813,1.194,2.674,2.536
2017-07-21,-1.05,1.29,0.977,1.384,2.96,2.589
2017-07-20,-0.15,1.64,1.177,1.946,3.05,2.633
2017-07-19,0.1,1.89,1.33,2.714,3.028,2.623
2017-07-18,0.25,2.1,2.067,3.66,3.049,2.667
2017-07-17,-8.8,4.1,3.193,3.734,2.997,2.687
2017-07-14,-8.63,5.48,4.033,3.716,2.782,2.732
2017-07-13,7.82,6.62,3.03,3.058,2.429,2.596
2017-07-12,0.04,2.47,2.16,2.018,1.915,2.253
2017-07-11,3.01,4.01,2.067,1.944,1.924,2.197
2017-07-10,2.03,2.19,1.203,1.458,1.762,2.019
2017-07-07,0.86,1.42,1.173,1.41,2.021,1.923
2017-07-06,-2.87,2.1,1.227,1.516,2.223,1.869
2017-07-05,0.0,1.58,1.177,1.392,2.16,1.783
2017-07-04,-2.22,1.95,1.3,1.588,2.165,1.748
2017-07-03,1.38,1.95,1.143,1.676,2.105,1.664
2017-06-30,-0.37,1.48,1.347,2.242,1.985,1.577
2017-06-29,1.63,2.56,1.65,2.634,1.898,1.528
2017-06-28,-1.33,2.39,2.39,2.416,1.722,1.411
2017-06-27,5.41,4.78,2.74,2.264,1.589,1.312
2017-06-26,1.92,3.44,1.637,1.578,1.18,1.058
2017-06-23,1.6,1.47,1.033,1.04,0.901,0.863
2017-06-22,-1.19,1.63,0.993,0.868,0.828,0.801
2017-06-21,2.28,1.35,0.7,0.702,0.746,0.74
2017-06-20,-0.5,0.75,0.453,0.644,0.701,0.715
2017-06-19,-0.6,0.61,0.47,0.632,0.723,0.736
2017-06-16,0.15,0.8,0.62,0.64,0.714,0.813
2017-06-15,1.47,1.06,0.583,0.628,0.688,0.927
2017-06-14,0.61,0.69,0.447,0.578,0.653,0.919
