date,p_change,TOR,TOR_3,TOR_5,TOR_10,TOR_15
2017-10-17,-0.7,1.11,0.92,1.954,1.675,1.615
2017-10-16,-3.15,1.65,1.327,2.572,1.631,1.636
2017-10-13,-0.84,2.33,2.337,2.386,1.548,1.601
2017-10-12,0.42,4.68,2.96,2.072,1.493,1.507
2017-10-11,4.89,4.2,1.64,1.26,1.172,1.28
2017-10-10,0.36,0.72,0.493,0.556,1.025,1.077
2017-10-09,0.63,0.76,0.46,0.546,1.096,1.11
2017-09-29,0.81,0.62,0.433,0.558,1.132,1.235
2017-09-28,0.0,0.68,0.45,0.79,1.163,1.295
2017-09-27,1.01,0.67,0.497,0.948,1.222,1.397
2017-09-26,0.65,0.82,0.867,1.36,1.271,1.639
2017-09-25,-3.55,1.78,1.083,1.482,1.31,1.698
2017-09-22,-2.43,1.47,1.4,1.35,1.396,1.751
2017-09-21,1.41,2.73,1.387,1.242,1.4,1.839
2017-09-20,1.07,1.43,0.85,0.95,1.348,1.859
2017-09-19,-0.62,1.12,0.683,0.896,1.636,2.0
2017-09-18,0.09,0.93,0.733,0.914,1.694,2.228
2017-09-15,-1.22,1.27,0.81,1.256,1.858,2.638
2017-09-14,0.17,1.16,0.79,1.304,2.01,2.841
2017-09-13,0.7,1.21,1.283,1.514,2.197,2.973
2017-09-12,-2.24,2.64,1.383,2.134,2.431,3.181
2017-09-11,-0.26,1.51,1.24,1.946,2.621,3.308
2017-09-08,-1.35,2.21,2.173,2.158,3.178,3.647
2017-09-07,2.52,4.31,2.003,2.274,3.388,4.29
2017-09-06,0.44,1.7,1.423,2.018,3.272,4.777
2017-09-05,-1.29,2.57,1.787,2.388,3.535,5.311
2017-09-04,-1.02,2.79,1.94,2.782,3.732,5.333
2017-09-01,1.29,3.03,2.193,3.64,4.113,5.293
2017-08-31,-2.11,3.55,2.697,3.896,4.995,5.175
2017-08-30,-1.5,4.54,3.873,3.816,5.802,5.044
2017-08-29,2.91,7.08,3.797,3.774,6.319,4.864
2017-08-28,1.04,4.31,2.487,3.266,5.901,4.482
2017-08-25,-0.34,3.15,2.493,3.724,5.688,4.349
2017-08-24,0.96,4.33,2.957,5.464,5.5,4.281
2017-08-23,-1.54,4.54,3.713,6.922,5.225,4.267
2017-08-22,-2.75,6.6,6.15,7.956,4.955,4.063
2017-08-21,-0.83,11.85,7.823,7.216,4.43,3.774
