date,p_change,TOR,TOR_3,TOR_5,TOR_10,TOR_15
2017-05-26,0.98,0.42,0.317,0.396,0.421,0.43
2017-05-25,1.82,0.53,0.313,0.39,0.42,0.455
2017-05-24,0.33,0.41,0.343,0.34,0.41,0.47
2017-05-23,-3.37,0.62,0.337,0.326,0.426,0.481
2017-05-22,-0.95,0.39,0.223,0.32,0.405,0.471
2017-05-19,0.8,0.28,0.207,0.368,0.408,0.469
2017-05-18,-1.27,0.34,0.31,0.394,0.459,0.479
2017-05-17,0.48,0.59,0.407,0.412,0.501,0.529
2017-05-16,1.12,0.63,0.347,0.408,0.499,0.571
2017-05-15,-1.11,0.41,0.28,0.364,0.483,0.591
2017-05-12,-0.79,0.43,0.333,0.366,0.478,0.613
2017-05-11,0.64,0.57,0.327,0.438,0.479,0.621
2017-05-10,-2.93,0.41,0.277,0.476,0.531,0.622
2017-05-09,1.09,0.42,0.403,0.508,0.611,0.65
2017-05-08,-3.17,0.79,0.517,0.518,0.663,0.663
2017-05-05,-2.07,0.76,0.443,0.432,0.658,0.661
2017-05-04,-1.46,0.57,0.347,0.368,0.637,0.666
2017-05-03,-1.58,0.47,0.277,0.472,0.638,0.69
2017-05-02,-0.85,0.36,0.267,0.62,0.674,0.771
2017-04-28,0.14,0.44,0.51,0.736,0.699,0.927
2017-04-27,-2.9,1.09,0.767,0.796,0.731,0.994
2017-04-26,-4.49,1.21,0.717,0.688,0.706,1.034
2017-04-25,4.7,0.94,0.56,0.562,0.678,1.032
2017-04-24,-3.6,0.74,0.43,0.54,0.753,1.045
2017-04-21,-0.92,0.55,0.377,0.514,0.948,1.067
2017-04-20,1.34,0.58,0.47,0.556,1.038,1.067
2017-04-19,-1.71,0.83,0.48,0.608,1.149,1.076
2017-04-18,-1.3,0.61,0.457,0.628,1.184,1.047
2017-04-17,-1.66,0.76,0.533,0.844,1.237,1.045
2017-04-14,0.26,0.84,0.59,1.23,1.268,1.041
2017-04-13,-1.51,0.93,0.873,1.352,1.239,1.021
2017-04-12,-1.24,1.69,1.46,1.504,1.217,0.997
2017-04-11,3.48,2.69,1.38,1.402,1.087,0.908
2017-04-10,1.44,1.45,1.047,1.092,0.876,0.754
2017-04-07,0.26,1.69,0.957,1.016,0.802,0.689
2017-04-06,0.53,1.18,0.773,0.788,0.687,0.606
2017-04-05,2.15,1.14,0.737,0.694,0.625,0.553
2017-03-31,2.9,1.07,0.54,0.544,0.547,0.513
2017-03-30,-1.9,0.55,0.42,0.446,0.478,0.471
2017-03-29,0.68,0.71,0.367,0.478,0.471,0.461
2017-03-28,-0.14,0.39,0.323,0.444,0.444,0.467
2017-03-27,-0.14,0.58,0.43,0.478,0.443,0.477
2017-03-24,1.94,0.71,0.417,0.434,0.439,0.483
2017-03-23,-0.28,0.54,0.367,0.368,0.412,0.466
2017-03-22,-0.96,0.56,0.307,0.356,0.399,0.463
2017-03-21,0.14,0.36,0.247,0.332,0.423,0.473
2017-03-20,0.0,0.38,0.287,0.336,0.44,0.499
2017-03-17,-1.62,0.48,0.307,0.368,0.47,0.499
2017-03-16,0.95,0.44,0.273,0.36,0.467,0.505
2017-03-15,-0.68,0.38,0.307,0.354,0.472,0.522
2017-03-14,0.55,0.54,0.327,0.438,0.505,0.556
2017-03-13,0.41,0.44,0.283,0.436,0.527,0.567
2017-03-10,-0.68,0.41,0.403,0.484,0.52,0.584
2017-03-09,-2.52,0.8,0.443,0.492,0.536,0.615
2017-03-08,0.27,0.53,0.403,0.43,0.526,0.641
2017-03-07,-1.05,0.68,0.377,0.466,0.562,0.654
2017-03-06,0.4,0.45,0.313,0.482,0.564,0.728
2017-03-03,-0.26,0.49,0.4,0.466,0.589,0.77
2017-03-02,-1.81,0.71,0.49,0.482,0.628,0.813
2017-03-01,0.78,0.76,0.377,0.48,0.676,0.894
2017-02-28,0.39,0.37,0.313,0.506,0.672,0.942
2017-02-27,-0.91,0.57,0.423,0.572,0.814,1.034
2017-02-24,1.18,0.7,0.53,0.598,0.865,1.04
2017-02-23,-1.04,0.89,0.53,0.634,0.908,1.054
2017-02-22,-0.64,0.7,0.467,0.694,1.012,1.065
2017-02-21,-0.26,0.7,0.527,0.698,1.09,1.063
2017-02-20,0.52,0.88,0.69,0.916,1.195,1.059
2017-02-17,0.13,1.19,0.637,0.956,1.173,1.043
2017-02-16,0.52,0.72,0.837,0.944,1.145,1.037
2017-02-15,-2.78,1.79,0.957,1.186,1.179,1.03
2017-02-14,-1.37,1.08,0.737,1.124,1.067,0.947
2017-02-13,-0.25,1.13,1.02,1.258,1.022,0.919
2017-02-10,1.77,1.93,1.137,1.164,0.973,0.889
2017-02-09,0.77,1.48,1.077,0.96,0.891,0.875
2017-02-08,2.89,1.75,0.803,0.876,0.804,0.859
2017-02-07,-0.26,0.66,0.523,0.66,0.683,0.849
2017-02-06,-0.78,0.91,0.657,0.654,0.684,0.889
2017-02-03,0.65,1.06,0.577,0.6,0.661,0.92
2017-01-26,0.0,0.67,0.433,0.61,0.726,1.006
2017-01-25,1.06,0.63,0.423,0.598,0.784,1.041
