date,p_change,TOR,TOR_3,TOR_5,TOR_10,TOR_15
2017-10-17,0.86,1.24,1.12,1.72,2.395,2.361
2017-10-16,-2.51,2.12,1.477,2.478,2.435,2.359
2017-10-13,-2.15,2.31,1.747,2.478,2.518,2.318
2017-10-12,0.89,2.93,2.653,2.716,2.671,2.239
2017-10-11,0.48,5.03,2.383,2.542,2.548,2.161
2017-10-10,0.38,2.12,1.873,2.064,2.178,2.025
2017-10-09,3.89,3.5,1.853,1.968,2.087,2.003
2017-09-29,-1.25,2.06,1.567,1.858,1.888,1.957
2017-09-28,0.68,2.64,1.427,2.214,1.794,1.962
2017-09-27,-0.04,1.64,1.53,2.026,1.706,2.021
2017-09-26,0.83,2.95,2.263,1.964,1.842,2.073
2017-09-25,1.58,3.84,1.847,1.616,1.725,1.999
2017-09-22,1.26,1.7,1.01,1.15,1.623,2.014
2017-09-21,-0.15,1.33,0.847,1.034,1.666,1.969
2017-09-20,0.52,1.21,0.907,1.12,1.886,1.961
2017-09-19,-1.54,1.51,0.877,1.478,2.006,2.029
2017-09-18,-0.11,1.12,0.96,1.532,2.04,2.013
2017-09-15,-1.23,1.76,1.587,1.872,2.334,2.005
2017-09-14,1.88,3.0,1.593,1.946,2.26,1.987
2017-09-13,0.22,1.78,1.533,2.052,2.081,1.835
2017-09-12,-1.31,2.82,1.65,2.178,2.127,1.762
2017-09-11,-0.07,2.13,1.887,1.984,1.972,1.633
2017-09-08,1.63,3.53,1.98,2.37,1.858,1.574
2017-09-07,1.81,2.41,1.42,1.868,1.655,1.454
2017-09-06,-0.6,1.85,1.97,1.628,1.486,1.37
2017-09-05,2.78,4.06,1.693,1.706,1.369,1.352
2017-09-04,0.47,1.02,0.743,1.148,1.052,1.171
2017-09-01,0.04,1.21,1.15,1.142,1.074,1.198
2017-08-31,-2.46,2.24,1.17,1.2,1.126,1.211
2017-08-30,0.53,1.27,0.753,0.896,1.017,1.225
2017-08-29,-0.49,0.99,0.83,0.778,1.048,1.249
2017-08-28,1.89,1.5,0.74,0.758,1.084,1.229
2017-08-25,1.37,0.72,0.467,0.706,1.076,1.185
2017-08-24,-0.85,0.68,0.523,0.908,1.144,1.173
2017-08-23,-1.15,0.89,0.71,1.002,1.321,1.179
2017-08-22,-1.73,1.24,0.99,1.14,1.396,1.177
2017-08-21,1.45,1.73,0.96,1.162,1.34,1.259
2017-08-18,-1.09,1.15,0.91,1.1,1.252,1.238
2017-08-17,0.53,1.58,0.977,1.15,1.19,1.268
2017-08-16,1.46,1.35,0.923,1.324,1.109,1.256
2017-08-15,-1.89,1.42,0.94,1.382,1.061,1.304
2017-08-14,0.95,1.4,1.283,1.234,1.165,1.321
2017-08-11,0.54,2.45,1.363,1.124,1.167,1.377
2017-08-10,2.07,1.64,0.773,0.74,1.082,1.526
2017-08-09,-0.7,0.68,0.51,0.566,1.058,1.539
2017-08-08,0.59,0.85,0.46,0.604,1.197,1.585
2017-08-07,0.47,0.53,0.433,0.926,1.28,1.601
2017-08-04,-0.78,0.77,0.547,1.104,1.45,1.633
2017-08-03,0.35,0.87,1.11,1.27,1.842,1.696
2017-08-02,-4.12,2.46,1.293,1.376,1.939,1.688
2017-08-01,-1.0,1.42,1.007,1.298,1.83,1.593
2017-07-31,1.89,1.6,1.0,1.35,1.797,1.595
2017-07-28,-1.67,1.4,1.157,1.476,1.738,1.617
2017-07-27,0.64,2.07,1.25,2.134,1.769,1.663
2017-07-26,-0.59,1.68,1.303,2.088,1.637,1.613
2017-07-25,-1.47,2.23,2.307,2.026,1.573,1.645
2017-07-24,5.9,4.69,2.177,1.798,1.494,1.592
2017-07-21,2.26,1.84,1.07,1.062,1.219,1.363
2017-07-20,0.4,1.37,0.82,1.036,1.243,1.327
2017-07-19,1.74,1.09,0.7,0.912,1.238,1.321
