date,p_change,TOR,TOR_3,TOR_5,TOR_10,TOR_15
2017-10-17,0.93,1.8,1.643,2.988,3.068,3.097
2017-10-16,-2.78,3.13,2.463,3.492,3.169,3.068
2017-10-13,-1.53,4.26,3.337,4.006,3.264,2.981
2017-10-12,2.05,5.75,3.357,3.542,3.461,2.8
2017-10-11,0.17,4.32,3.34,2.644,3.016,2.566
2017-10-10,2.44,5.7,2.547,2.284,2.719,2.57
2017-10-09,1.37,1.94,1.067,1.706,2.286,2.297
2017-09-29,0.52,1.26,1.26,2.134,2.274,2.33
2017-09-28,-2.35,2.52,1.777,3.128,2.303,2.474
2017-09-27,0.42,2.81,2.297,2.884,2.275,2.731
2017-09-26,-3.1,4.08,3.437,2.592,2.432,2.723
2017-09-25,6.61,6.23,2.51,2.05,2.184,2.552
2017-09-22,-0.95,1.3,0.883,1.168,1.805,2.237
2017-09-21,-1.02,1.35,0.907,1.218,2.017,2.263
2017-09-20,0.43,1.37,1.063,1.396,2.52,2.284
2017-09-19,-1.93,1.82,1.123,1.998,2.651,2.291
2017-09-18,1.19,1.55,1.263,1.954,2.621,2.335
2017-09-15,-1.75,2.24,2.207,2.132,2.616,2.338
2017-09-14,1.79,4.38,1.993,2.368,2.562,2.307
2017-09-13,-0.25,1.6,1.347,2.768,2.29,2.103
2017-09-12,-0.25,2.44,1.953,2.984,2.277,2.101
2017-09-11,-0.67,3.42,3.267,2.8,2.282,2.028
2017-09-08,2.76,6.38,3.02,2.416,2.099,1.957
2017-09-07,1.14,2.68,1.4,1.48,1.638,1.658
2017-09-06,-0.17,1.52,1.007,1.276,1.502,1.648
2017-09-05,0.17,1.5,1.067,1.266,1.508,1.725
2017-09-04,0.17,1.7,1.12,1.464,1.492,1.948
2017-09-01,-0.61,1.66,1.043,1.442,1.557,1.976
2017-08-31,-0.78,1.47,1.32,1.464,1.581,2.033
2017-08-30,1.4,2.49,1.36,1.434,1.687,2.237
2017-08-29,-0.69,1.59,1.12,1.252,1.706,2.449
2017-08-28,1.14,1.77,1.03,1.202,2.031,2.827
2017-08-25,1.16,1.32,0.967,1.318,2.066,3.618
2017-08-24,-1.66,1.58,0.973,1.434,2.185,4.356
2017-08-23,0.17,1.34,1.23,1.624,2.481,4.361
2017-08-22,-2.39,2.35,1.417,1.892,2.913,4.363
2017-08-21,0.52,1.9,1.477,2.39,3.404,4.333
2017-08-18,-0.51,2.53,1.737,2.434,4.578,4.338
2017-08-17,-0.43,2.68,2.507,2.43,5.564,4.345
2017-08-16,3.34,4.84,2.32,2.802,5.461,4.295
2017-08-15,-0.44,2.12,1.543,2.966,5.115,4.129
2017-08-14,0.79,2.51,2.35,3.994,5.093,4.252
2017-08-11,-3.16,4.54,3.4,6.22,5.039,4.297
2017-08-10,-2.5,5.66,4.307,7.79,4.849,4.095
2017-08-09,-0.91,7.26,6.967,6.988,4.476,3.803
2017-08-08,0.67,13.64,8.677,5.812,3.985,3.448
2017-08-07,9.96,12.39,4.68,3.464,3.017,2.637
2017-08-04,-1.79,1.65,1.01,1.38,2.096,1.943
2017-08-03,0.72,1.38,1.093,1.578,2.083,2.047
2017-08-02,-1.86,1.9,1.29,1.688,2.072,2.111
2017-08-01,-1.31,1.97,1.537,1.778,2.076,2.267
2017-07-31,1.15,2.64,1.523,2.176,2.026,2.299
2017-07-28,-0.53,1.93,1.427,2.284,1.961,2.404
2017-07-27,-0.87,2.35,2.103,2.202,2.089,2.375
2017-07-26,1.78,3.96,2.38,1.986,2.088,2.37
2017-07-25,3.02,3.18,1.567,1.582,2.116,2.207
2017-07-24,-0.46,1.52,0.93,1.24,2.042,2.079
2017-07-21,-1.53,1.27,1.07,1.334,2.312,2.048
2017-07-20,1.64,1.94,1.137,1.722,2.334,2.079
2017-07-19,-0.09,1.47,1.153,1.802,2.368,2.063
2017-07-18,3.88,1.99,1.733,2.356,2.373,2.047
2017-07-17,-6.22,3.21,1.85,2.446,2.3,2.011
2017-07-14,-2.17,2.34,2.193,2.648,2.084,1.927
2017-07-13,4.16,4.24,2.227,2.478,2.023,1.894
2017-07-12,-2.13,2.44,2.22,2.086,1.769,1.696
2017-07-11,1.17,4.22,1.903,1.902,1.649,1.641
2017-07-10,-0.45,1.49,1.257,1.31,1.371,1.47
2017-07-07,2.0,2.28,1.267,1.222,1.417,1.452
2017-07-06,-1.26,1.52,0.927,1.112,1.374,1.356
2017-07-05,0.72,1.26,0.77,1.148,1.349,1.322
2017-07-04,-0.81,1.05,0.927,1.144,1.384,1.337
2017-07-03,0.09,1.73,1.143,1.222,1.445,1.337
2017-06-30,1.0,1.7,0.98,1.266,1.394,1.316
2017-06-29,0.27,1.24,0.893,1.296,1.308,1.259
2017-06-28,0.0,1.44,1.13,1.302,1.285,1.258
2017-06-27,0.46,1.95,1.267,1.336,1.29,1.316
2017-06-26,2.82,1.85,1.04,1.278,1.2,1.303
2017-06-23,-0.56,1.27,0.96,1.152,1.156,1.259
2017-06-22,-2.1,1.61,1.09,1.066,1.113,1.255
2017-06-21,-1.35,1.66,0.96,0.946,1.075,1.234
2017-06-20,-0.27,1.22,0.687,0.912,1.14,1.225
2017-06-19,1.0,0.84,0.617,0.878,1.193,1.233
2017-06-16,-0.81,1.01,0.833,0.992,1.228,1.355
2017-06-15,0.27,1.49,0.847,0.958,1.248,1.39
2017-06-14,-0.27,1.05,0.82,0.906,1.229,1.371
2017-06-13,1.84,1.41,0.75,1.158,1.276,1.407
2017-06-12,-0.73,0.84,0.69,1.226,1.27,1.422
2017-06-09,-1.17,1.23,1.18,1.296,1.453,1.463
2017-06-08,0.0,2.31,1.353,1.292,1.483,1.445
2017-06-07,1.65,1.75,0.98,1.09,1.373,1.378
2017-06-06,-0.82,1.19,0.8,1.044,1.357,1.385
2017-06-05,0.18,1.21,0.837,1.076,1.401,1.354
2017-06-02,3.19,1.3,0.94,1.368,1.425,1.341
2017-06-01,-3.44,1.52,0.957,1.414,1.392,1.375
2017-05-31,-0.45,1.35,1.34,1.352,1.37,1.377
2017-05-26,2.4,2.67,1.4,1.4,1.42,1.379
2017-05-25,2.17,1.53,0.913,1.192,1.226,1.345
2017-05-24,2.12,1.21,0.933,1.176,1.174,1.323
2017-05-23,-3.89,1.59,1.073,1.128,1.235,1.356
2017-05-22,-0.28,1.63,1.027,1.07,1.23,1.328
2017-05-19,0.74,1.45,0.807,1.114,1.205,1.307
2017-05-18,-0.09,0.97,0.757,0.97,1.277,1.319
2017-05-17,0.28,1.3,1.05,0.978,1.3,1.415
2017-05-16,2.29,1.85,0.86,1.082,1.34,1.413
2017-05-15,0.38,0.73,0.58,1.02,1.272,1.374
2017-05-12,-0.48,1.01,0.943,1.15,1.33,1.492
2017-05-11,-2.6,1.82,1.12,1.382,1.392,1.528
2017-05-10,-2.88,1.54,0.973,1.258,1.452,1.546
2017-05-09,-0.54,1.38,1.183,1.29,1.424,1.563
2017-05-08,1.73,2.17,1.123,1.248,1.413,1.59
2017-05-05,0.55,1.2,0.967,1.076,1.446,1.663
2017-05-04,-2.68,1.7,0.957,1.162,1.481,1.758
2017-05-03,0.63,1.17,0.827,1.306,1.52,1.748
2017-05-02,0.36,1.31,0.98,1.324,1.582,1.804
2017-04-28,1.0,1.63,1.35,1.316,1.63,1.94
2017-04-27,1.85,2.42,1.227,1.49,1.793,2.053
2017-04-26,0.75,1.26,0.843,1.316,1.814,2.045
2017-04-25,0.47,1.27,1.257,1.482,1.843,2.131
2017-04-24,-4.4,2.5,1.35,1.586,1.917,2.205
2017-04-21,-1.76,1.55,1.213,1.444,2.002,2.18
2017-04-20,0.71,2.09,1.293,1.786,2.179,2.395
2017-04-19,1.08,1.79,1.193,1.894,2.2,2.459
2017-04-18,-1.85,1.79,1.683,1.846,2.276,2.511
2017-04-17,-3.4,3.26,1.963,1.89,2.335,2.678
2017-04-14,-2.49,2.63,1.393,1.908,2.222,2.753
2017-04-13,0.42,1.55,1.187,2.046,2.437,2.829
2017-04-12,-1.07,2.01,1.787,2.196,2.586,2.963
2017-04-11,1.25,3.35,2.223,2.304,2.642,3.05
2017-04-10,-2.68,3.32,1.873,2.11,2.737,3.107
2017-04-07,-0.08,2.3,1.617,1.872,2.844,3.183
2017-04-06,-0.48,2.55,1.643,2.368,2.99,3.249
2017-04-05,1.31,2.38,1.503,2.466,3.091,3.295
2017-03-31,0.16,2.13,2.303,2.504,3.185,3.536
2017-03-30,-4.69,4.78,2.607,2.938,3.393,3.787
2017-03-29,0.23,3.04,1.87,2.86,3.361,3.899
2017-03-28,-1.31,2.57,2.29,3.004,3.386,4.005
2017-03-27,2.45,4.3,2.897,3.202,3.452,4.056
2017-03-24,-0.86,4.39,2.717,3.006,3.622,4.069
2017-03-23,-1.85,3.76,2.44,2.97,3.772,4.041
2017-03-22,-1.59,3.56,2.293,3.11,4.043,4.138
2017-03-21,-0.23,3.32,2.51,3.056,4.15,4.426
2017-03-20,2.01,4.21,2.89,3.038,4.151,4.674
2017-03-17,-0.69,4.46,2.583,3.396,4.18,4.841
2017-03-16,1.16,3.29,2.173,3.682,4.131,5.066
2017-03-15,-1.53,3.23,3.077,4.318,4.323,5.391
2017-03-14,1.79,6.0,3.963,4.598,4.788,5.975
2017-03-13,-2.57,5.89,4.12,4.064,4.892,6.218
2017-03-10,-1.05,6.47,3.7,3.786,4.974,6.63
2017-03-09,0.45,4.63,2.653,3.286,5.111,6.969
2017-03-08,-0.82,3.33,2.61,3.402,5.464,7.797
2017-03-07,0.38,4.5,2.823,4.312,6.331,9.607
2017-03-06,0.45,3.97,3.06,4.82,6.845,10.913
2017-03-03,0.07,5.21,4.363,5.368,7.655,12.308
2017-03-02,-3.28,7.88,4.973,5.894,8.289,12.743
2017-03-01,0.81,7.04,4.583,5.95,9.207,12.568
2017-02-28,-1.45,6.71,4.85,6.942,11.55,12.334
2017-02-27,0.07,7.84,5.333,7.528,13.288,12.162
2017-02-24,0.07,8.16,6.72,8.374,14.994,11.941
2017-02-23,-1.78,12.0,7.213,9.052,15.351,11.522
2017-02-22,-2.02,9.64,7.237,10.064,14.677,10.803
2017-02-21,0.28,12.07,7.873,14.23,14.066,10.161
2017-02-20,0.14,11.55,9.537,16.634,13.272,9.48
2017-02-17,-5.37,17.06,15.843,19.304,12.569,8.902
2017-02-16,1.69,30.47,18.187,18.238,11.051,7.946
2017-02-15,7.22,24.09,16.33,13.196,8.126,6.04
2017-02-14,3.75,24.9,12.21,9.084,5.717,4.617
2017-02-13,9.97,11.73,5.663,4.93,3.413,3.112
2017-02-10,-0.74,5.26,2.93,3.488,2.528,2.706
2017-02-09,-0.57,3.53,2.553,2.812,2.274,2.653
2017-02-08,0.82,4.13,2.883,2.35,2.109,2.849
2017-02-07,3.22,4.52,2.133,1.524,1.97,2.833
2017-02-06,0.94,1.88,1.033,0.992,1.751,2.897
2017-02-03,-1.01,1.22,0.407,1.192,2.127,2.995
2017-02-02,0.17,0.0,0.62,1.492,2.451,3.174
2017-01-26,0.17,1.86,1.58,1.868,3.099,3.51
2017-01-25,-0.42,2.88,1.867,2.044,3.301,3.659
