date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover
2017-10-17,7.77,7.81,7.72,7.67,56040.01,-0.1,-1.28,7.908,7.983,8.224,66388.1,59250.21,59965.06,1.25
2017-10-16,8.06,8.07,7.82,7.8,75736.5,-0.27,-3.34,7.982,8.031,8.266,66498.4,58260.66,63107.16,1.68
2017-10-13,7.91,8.13,8.09,7.86,85372.43,0.2,2.54,8.02,8.059,8.312,62352.51,54425.11,63665.68,1.9
2017-10-12,8.02,8.02,7.89,7.84,62678.0,-0.13,-1.62,8.018,8.076,8.342,54049.02,52226.37,63228.5,1.39
2017-10-11,8.05,8.08,8.02,7.99,52113.55,-0.07,-0.86,8.034,8.134,8.382,55723.42,52088.27,64655.02,1.16
2017-10-10,8.05,8.1,8.09,7.97,56591.51,0.08,1.0,8.058,8.203,8.421,52112.32,53438.72,67497.96,1.26
2017-10-09,8.11,8.15,8.01,7.99,55007.05,-0.07,-0.87,8.08,8.259,8.465,50022.92,55985.66,72348.22,1.22
2017-09-29,7.93,8.09,8.08,7.93,43855.0,0.11,1.38,8.098,8.317,8.523,46497.72,56409.11,82213.16,0.97
2017-09-28,8.16,8.17,7.97,7.96,71050.0,-0.17,-2.09,8.134,8.356,8.555,50403.72,57791.34,85833.14,1.58
2017-09-27,8.21,8.26,8.14,8.12,34058.04,-0.06,-0.73,8.234,8.418,8.591,48453.12,58194.17,87483.56,0.76
2017-09-26,8.14,8.21,8.2,8.03,46144.5,0.1,1.24,8.348,8.464,8.622,54765.12,60679.92,92258.47,1.03
2017-09-25,8.25,8.31,8.1,8.1,37381.07,-0.16,-1.94,8.438,8.5,8.657,61948.4,67953.67,95571.47,0.83
2017-09-22,8.41,8.46,8.26,8.25,63385.01,-0.21,-2.48,8.536,8.564,8.7,66320.49,72906.24,101877.22,1.41
2017-09-21,8.7,8.7,8.47,8.44,61297.0,-0.24,-2.75,8.578,8.608,8.737,65178.95,74230.63,107903.58,1.36
