date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover
2017-10-17,7.98,8.36,8.36,7.78,555302.88,0.22,2.7,8.064,7.728,7.479,795083.2,498327.64,369299.76,5.24
2017-10-16,8.01,8.67,8.14,8.0,712795.44,0.08,0.99,7.918,7.61,7.407,764432.3,454353.23,347123.07,6.73
2017-10-13,7.67,8.33,8.06,7.67,757254.06,0.33,4.27,7.802,7.513,7.347,676538.34,394518.19,317368.59,7.15
2017-10-12,7.85,7.97,7.73,7.65,674417.75,-0.3,-3.74,7.648,7.434,7.288,542229.69,335043.95,285293.22,6.36
2017-10-11,7.8,8.39,8.03,7.66,1275645.88,0.4,5.24,7.562,7.401,7.242,437246.69,283272.65,257027.82,12.04
2017-10-10,7.53,7.79,7.63,7.44,402048.38,0.07,0.93,7.392,7.343,7.183,201572.08,185667.12,203360.27,3.79
2017-10-09,7.36,7.6,7.56,7.24,273325.62,0.27,3.7,7.302,7.328,7.147,144274.16,193860.68,191439.16,2.58
2017-09-29,7.3,7.39,7.29,7.24,85710.81,-0.01,-0.14,7.224,7.302,7.123,112498.05,212159.38,189288.89,0.81
2017-09-28,7.2,7.35,7.3,7.12,149502.77,0.12,1.67,7.22,7.28,7.109,127858.2,223095.75,192031.0,1.41
2017-09-27,7.2,7.25,7.18,7.12,97272.81,0.0,0.0,7.24,7.256,7.093,129298.61,239403.17,195113.75,0.92
2017-09-26,7.12,7.19,7.18,7.05,115558.81,0.01,0.14,7.294,7.229,7.08,169762.16,240271.88,199384.94,1.09
2017-09-25,7.28,7.34,7.17,7.16,114445.04,-0.1,-1.38,7.354,7.203,7.067,243447.2,239892.91,201233.16,1.08
2017-09-22,7.37,7.43,7.27,7.23,162511.59,-0.13,-1.76,7.38,7.181,7.057,311820.72,240218.99,204006.01,1.53
2017-09-21,7.42,7.48,7.4,7.35,156704.8,-0.05,-0.67,7.34,7.142,7.04,318333.3,235542.49,207334.59,1.48
2017-09-20,7.44,7.54,7.45,7.38,299590.56,-0.03,-0.4,7.272,7.083,7.016,349507.72,230782.98,213611.4,2.83
2017-09-19,7.26,7.53,7.48,7.24,483984.03,0.18,2.47,7.164,7.023,6.996,310781.61,221053.41,215038.68,4.57
2017-09-18,7.1,7.42,7.3,7.05,456312.62,0.23,3.25,7.052,6.966,6.967,236338.62,189017.64,199907.95,4.31
2017-09-15,7.02,7.11,7.07,7.01,195074.48,0.01,0.14,6.982,6.944,6.948,168617.26,166418.39,184750.37,1.84
2017-09-14,6.89,7.11,7.06,6.84,312576.91,0.15,2.17,6.944,6.937,6.944,152751.69,160966.24,196763.23,2.95
2017-09-13,6.94,6.96,6.91,6.82,105960.0,-0.01,-0.14,6.894,6.93,6.931,112058.25,150824.33,187280.9,1.0
2017-09-12,6.96,7.0,6.92,6.88,111769.07,-0.03,-0.43,6.882,6.931,6.926,131325.22,158497.99,189106.11,1.05
2017-09-11,6.86,6.97,6.95,6.84,117705.84,0.07,1.02,6.88,6.931,6.92,141696.66,162573.41,192304.83,1.11
2017-09-08,6.83,6.91,6.88,6.78,115746.63,0.07,1.03,6.906,6.932,6.916,164219.52,167793.04,202523.25,1.09
2017-09-07,6.82,6.9,6.81,6.8,109109.7,-0.04,-0.58,6.93,6.937,6.901,169180.79,179126.69,205285.8,1.03
2017-09-06,6.91,6.96,6.85,6.77,202294.86,-0.06,-0.87,6.966,6.949,6.892,189590.41,196439.81,212154.04,1.91
2017-09-05,7.07,7.12,6.91,6.9,163626.27,-0.17,-2.4,6.98,6.968,6.886,185670.75,209023.94,215947.64,1.54
2017-09-04,6.99,7.12,7.08,6.92,230320.16,0.08,1.14,6.982,6.967,6.883,183450.16,210798.26,239465.64,2.17
2017-09-01,6.97,7.03,7.0,6.93,140552.98,0.01,0.14,6.958,6.951,6.857,171366.55,203082.36,232033.12,1.33
2017-08-31,6.89,7.06,6.99,6.85,211157.8,0.07,1.01,6.944,6.95,6.838,189072.58,232560.21,233965.32,1.99
2017-08-30,6.93,7.04,6.92,6.86,182696.56,0.0,0.0,6.932,6.932,6.818,203289.2,223737.47,230098.21,1.72
2017-08-29,6.95,6.96,6.92,6.83,152523.31,-0.04,-0.57,6.956,6.92,6.803,232377.12,219714.23,237408.22,1.44
2017-08-28,6.85,7.0,6.96,6.85,169902.08,0.03,0.43,6.952,6.908,6.784,238146.35,222036.26,236693.95,1.6
2017-08-25,6.89,6.97,6.93,6.78,229083.16,0.0,0.0,6.944,6.899,6.764,234798.16,237253.47,238017.3,2.16
2017-08-24,7.02,7.16,6.93,6.91,282240.88,-0.11,-1.56,6.956,6.865,6.748,276047.84,231444.91,236909.84,2.66
2017-08-23,6.88,7.14,7.04,6.85,328136.16,0.14,2.03,6.932,6.834,6.728,244185.75,227868.27,230658.25,3.1
2017-08-22,6.93,7.04,6.9,6.89,181369.48,-0.02,-0.29,6.884,6.804,6.702,207051.34,222871.35,222198.53,1.71
