date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover
2017-10-17,8.28,8.31,8.27,8.22,53091.45,-0.02,-0.24,8.412,8.381,8.439,85939.35,94907.24,140544.87,0.7
2017-10-16,8.46,8.46,8.29,8.22,120858.17,-0.17,-2.01,8.458,8.388,8.432,97786.58,101041.58,142572.39,1.59
2017-10-13,8.51,8.53,8.46,8.42,81956.29,-0.07,-0.82,8.484,8.409,8.425,98968.21,99838.71,141413.73,1.08
2017-10-12,8.5,8.55,8.53,8.44,85239.73,0.02,0.23,8.44,8.417,8.402,99641.76,109937.53,141878.65,1.12
2017-10-11,8.55,8.58,8.51,8.46,88551.11,0.01,0.12,8.382,8.405,8.377,107447.13,119606.36,144472.94,1.17
2017-10-10,8.4,8.54,8.5,8.38,112327.58,0.08,0.95,8.35,8.422,8.359,103875.12,127183.72,144803.02,1.48
2017-10-09,8.33,8.44,8.42,8.25,126766.36,0.18,2.18,8.318,8.437,8.34,104296.59,131632.37,144908.43,1.67
2017-09-29,8.25,8.3,8.24,8.19,85324.02,0.0,0.0,8.334,8.464,8.328,100709.21,150005.45,150058.0,1.12
2017-09-28,8.35,8.4,8.24,8.2,124266.58,-0.11,-1.32,8.394,8.483,8.314,120233.3,163191.42,149775.93,1.64
2017-09-27,8.37,8.39,8.35,8.31,70691.07,0.01,0.12,8.428,8.494,8.302,131765.59,164675.67,149866.8,0.93
2017-09-26,8.53,8.56,8.34,8.29,114434.92,-0.16,-1.88,8.494,8.497,8.282,150492.32,186182.51,152424.6,1.51
2017-09-25,8.54,8.65,8.5,8.44,108829.48,-0.04,-0.47,8.556,8.476,8.266,158968.15,184103.2,153855.78,1.43
2017-09-22,8.4,8.69,8.54,8.32,182944.44,0.13,1.55,8.594,8.441,8.238,199301.69,182988.75,154790.88,2.41
2017-09-21,8.68,8.68,8.41,8.4,181928.05,-0.27,-3.11,8.572,8.387,8.205,206149.54,173819.76,149715.55,2.4
2017-09-20,8.74,8.82,8.68,8.6,164324.7,0.03,0.35,8.56,8.349,8.173,197585.76,169339.52,144927.22,2.17
2017-09-19,8.61,8.73,8.65,8.61,156814.08,-0.04,-0.46,8.5,8.295,8.133,221872.71,162422.31,140347.39,2.07
2017-09-18,8.5,8.85,8.69,8.5,310497.16,0.26,3.08,8.396,8.242,8.093,209238.26,158184.48,138905.89,4.09
2017-09-15,8.34,8.57,8.43,8.34,217183.73,0.08,0.96,8.288,8.192,8.058,166675.81,150110.56,134470.92,2.86
2017-09-14,8.38,8.45,8.35,8.3,139109.12,-0.03,-0.36,8.202,8.145,8.022,141489.98,136360.43,127121.76,1.83
2017-09-13,8.22,8.44,8.38,8.15,285759.44,0.25,3.08,8.138,8.11,7.993,141093.27,135057.92,123673.55,3.77
2017-09-12,8.11,8.17,8.13,8.08,93641.84,-0.02,-0.24,8.09,8.067,7.957,102971.92,118666.7,113158.61,1.23
2017-09-11,8.0,8.18,8.15,8.0,97684.92,0.15,1.88,8.088,8.055,7.939,107130.71,123608.36,110864.65,1.29
2017-09-08,8.06,8.09,8.0,7.98,91254.6,-0.03,-0.37,8.096,8.034,7.919,133545.3,126593.01,110377.35,1.2
2017-09-07,8.14,8.21,8.03,8.03,137125.56,-0.11,-1.35,8.088,8.022,7.896,131230.88,125611.33,111718.84,1.81
2017-09-06,8.12,8.23,8.14,8.05,95152.67,0.02,0.25,8.082,7.996,7.88,129022.57,120514.93,110802.08,1.25
2017-09-05,8.23,8.25,8.12,8.07,114435.78,-0.07,-0.85,8.044,7.97,7.861,134361.48,118272.47,114558.53,1.51
2017-09-04,7.99,8.23,8.19,7.95,229757.91,0.23,2.89,8.022,7.943,7.852,140086.02,119627.3,114898.11,3.03
2017-09-01,7.96,8.04,7.96,7.95,79682.46,-0.04,-0.5,7.972,7.923,7.843,119640.72,118831.29,109321.9,1.05
2017-08-31,7.97,8.01,8.0,7.91,126084.02,0.05,0.63,7.956,7.899,7.843,119991.78,117883.1,118127.56,1.66
2017-08-30,8.0,8.01,7.95,7.9,121847.22,-0.06,-0.75,7.91,7.875,7.837,112007.29,112289.18,120288.56,1.61
2017-08-29,7.97,8.03,8.01,7.87,143058.5,0.07,0.88,7.896,7.847,7.831,102183.46,107650.51,123852.67,1.88
2017-08-28,7.95,7.99,7.94,7.89,127531.4,0.06,0.76,7.864,7.822,7.823,99168.57,98120.93,127332.85,1.68
2017-08-25,7.77,7.89,7.88,7.73,81437.75,0.11,1.42,7.874,7.804,7.811,118021.86,94161.7,128643.3,1.07
2017-08-24,7.93,7.97,7.77,7.7,86161.56,-0.11,-1.4,7.842,7.769,7.8,115774.42,97826.35,128663.24,1.14
2017-08-23,7.86,7.94,7.88,7.81,72728.07,0.03,0.38,7.84,7.763,7.799,112571.08,101089.24,131451.49,0.96
2017-08-22,8.0,8.02,7.85,7.83,127984.07,-0.14,-1.75,7.798,7.751,7.79,113117.57,110844.6,135537.89,1.69
2017-08-21,7.75,8.0,7.99,7.71,221797.84,0.27,3.5,7.78,7.761,7.784,97073.28,110168.92,142144.46,2.92
2017-08-18,7.72,7.76,7.72,7.67,70200.57,-0.04,-0.52,7.734,7.762,7.767,70301.54,99812.51,140941.22,0.92
2017-08-17,7.68,7.78,7.76,7.68,70144.83,0.09,1.17,7.696,7.787,7.753,79878.28,118372.03,152166.21,0.92
2017-08-16,7.75,7.79,7.67,7.65,75460.55,-0.09,-1.16,7.686,7.798,7.729,89607.4,128287.93,153956.41,0.99
2017-08-15,7.75,7.8,7.76,7.71,47762.63,0.0,0.0,7.704,7.815,7.709,108571.63,140054.82,155569.88,0.63
2017-08-14,7.52,7.76,7.76,7.52,87939.1,0.23,3.05,7.742,7.823,7.678,123264.55,156544.77,157350.28,1.16
