date,amp,amp5,amp10,amp20,amp40
2017-10-13,0.0169,0.0212,0.0246,0.0317,0.0265
2017-10-16,0.039,0.0253,0.0238,0.033,0.027
2017-10-17,0.0143,0.0243,0.0234,0.033,0.0262
