date,amp,amp5,amp10,amp20,amp40
2017-10-13,0.0341,0.0465,0.0471,0.0518,0.0449
2017-10-16,0.0499,0.0435,0.048,0.0508,0.0446
2017-10-17,0.0346,0.0429,0.0475,0.0479,0.0449
