date,amp,amp5,amp10,amp20,amp40
2017-10-13,0.0145,0.0134,0.0132,0.0164,0.019
2017-10-16,0.0172,0.0149,0.0128,0.0167,0.0189
2017-10-17,0.0156,0.0161,0.0129,0.0154,0.019
