date,amp,amp5,amp10,amp20,amp40
2017-10-13,0.0194,0.0236,0.0219,0.0314,0.0249
2017-10-16,0.045,0.0265,0.0239,0.029,0.0255
2017-10-17,0.0144,0.0245,0.0224,0.0273,0.0252
