date,amp,amp5,amp10,amp20,amp40
2017-10-13,0.0084,0.0121,0.0132,0.0166,0.0171
2017-10-16,0.0118,0.0125,0.0116,0.0164,0.0168
2017-10-17,0.0085,0.0108,0.0113,0.0157,0.0168
