date,amp,amp5,amp10,amp20,amp40
2017-10-13,0.0326,0.0241,0.0274,0.0271,0.031
2017-10-16,0.0198,0.0248,0.0268,0.0266,0.0311
2017-10-17,0.0221,0.0264,0.0261,0.0268,0.0314
