date,amp,amp5,amp10,amp20,amp40
2017-10-13,0.0146,0.0184,0.0153,0.0141,0.015
2017-10-16,0.0137,0.0163,0.015,0.0136,0.0149
2017-10-17,0.0108,0.0142,0.0152,0.0134,0.0147
