date,amp,amp5,amp10,amp20,amp40
2017-10-13,0.0277,0.0257,0.0216,0.0219,0.0278
2017-10-16,0.023,0.0253,0.0218,0.0222,0.027
2017-10-17,0.0148,0.0248,0.0213,0.0214,0.0267
