date,p_change,TOR,TOR_3,TOR_5,TOR_10,TOR_15
2017-10-17,0.41,0.58,0.797,0.97,1.087,1.202
2017-10-16,-4.53,1.81,0.963,1.036,1.138,1.345
2017-10-13,0.11,1.08,0.82,0.92,1.082,1.365
2017-10-12,0.04,1.38,0.763,1.004,1.096,1.499
2017-10-11,-1.08,0.91,0.713,0.932,1.102,1.694
2017-10-10,0.77,1.23,0.91,1.022,1.227,1.79
2017-10-09,1.79,1.5,0.84,0.994,1.376,1.935
2017-09-29,1.08,1.02,0.793,0.944,1.437,2.449
2017-09-28,-1.39,1.36,0.817,0.984,1.644,2.711
2017-09-27,-0.39,1.09,0.78,1.0,1.939,2.676
2017-09-26,1.99,1.25,0.823,1.214,2.065,2.693
2017-09-25,-2.37,1.22,0.887,1.508,2.28,2.761
2017-09-22,-2.08,1.44,1.2,1.686,3.08,2.724
2017-09-21,-2.03,2.16,1.627,2.016,3.431,2.681
2017-09-20,2.54,2.72,1.61,2.446,3.298,2.573
2017-09-19,-2.44,2.11,1.733,2.372,3.161,2.425
2017-09-18,1.62,3.09,2.467,2.63,3.177,2.336
2017-09-15,1.9,4.31,2.22,3.856,2.934,2.182
2017-09-14,-1.42,2.35,1.917,3.984,2.583,1.946
2017-09-13,-1.63,3.4,4.207,3.68,2.402,1.827
2017-09-12,0.79,9.22,4.723,3.27,2.112,1.676
2017-09-11,10.0,4.95,1.927,1.88,1.267,1.103
2017-09-08,0.23,0.83,0.727,1.022,0.85,0.821
2017-09-07,-2.0,1.35,1.207,1.016,0.844,0.835
2017-09-06,2.74,2.27,0.977,0.854,0.766,0.866
2017-09-05,-0.49,0.66,0.487,0.5,0.652,0.804
2017-09-04,0.61,0.8,0.447,0.522,0.649,0.842
2017-09-01,0.31,0.54,0.347,0.518,0.641,0.88
2017-08-31,-0.15,0.5,0.423,0.564,0.69,0.919
2017-08-30,0.77,0.77,0.517,0.578,0.822,0.981
2017-08-29,-2.0,0.78,0.517,0.65,0.879,1.015
2017-08-28,1.49,0.77,0.447,0.62,0.924,1.011
2017-08-25,1.0,0.57,0.567,0.61,0.984,1.044
2017-08-24,-1.78,1.13,0.587,0.702,1.039,1.099
2017-08-23,0.04,0.63,0.45,0.84,1.069,1.243
2017-08-22,-0.98,0.72,0.583,0.982,1.134,1.235
2017-08-21,0.11,1.03,0.95,1.084,1.135,1.261
2017-08-18,-3.98,1.82,1.053,1.152,1.158,1.251
2017-08-17,0.47,1.34,0.857,1.012,1.115,1.193
2017-08-16,0.07,1.23,0.867,1.03,1.31,1.157
2017-08-15,0.81,1.37,0.83,1.04,1.238,1.15
2017-08-14,1.94,1.12,0.85,0.912,1.213,1.113
2017-08-11,-0.89,1.43,0.903,0.94,1.188,1.109
2017-08-10,0.56,1.28,0.67,0.932,1.141,1.103
2017-08-09,0.07,0.73,0.663,1.334,1.092,1.074
2017-08-08,-0.48,1.26,0.883,1.29,1.132,1.09
2017-08-07,-1.03,1.39,1.56,1.262,1.088,1.051
2017-08-04,5.58,3.29,1.267,1.158,1.054,1.01
