date,p_change,TOR,TOR_3,TOR_5,TOR_10,TOR_15
2017-10-17,-1.15,0.5,0.337,0.386,0.345,0.36
2017-10-16,-1.41,0.51,0.287,0.38,0.349,0.351
2017-10-13,0.0,0.35,0.307,0.342,0.323,0.355
2017-10-12,0.28,0.57,0.347,0.332,0.31,0.369
2017-10-11,-0.14,0.47,0.263,0.252,0.316,0.353
2017-10-10,0.14,0.32,0.207,0.21,0.3,0.336
2017-10-09,0.43,0.3,0.157,0.254,0.305,0.331
2017-09-29,0.28,0.17,0.143,0.244,0.331,0.334
2017-09-28,-0.57,0.26,0.267,0.254,0.37,0.343
2017-09-27,-0.42,0.54,0.263,0.328,0.377,0.34
2017-09-26,0.14,0.25,0.157,0.282,0.345,0.331
2017-09-25,-0.28,0.22,0.283,0.306,0.345,0.337
2017-09-22,-0.14,0.63,0.313,0.374,0.357,0.341
2017-09-21,-0.84,0.31,0.227,0.36,0.324,0.322
2017-09-20,0.14,0.37,0.31,0.364,0.315,0.323
2017-09-19,-1.24,0.56,0.373,0.334,0.319,0.313
2017-09-18,1.4,0.56,0.297,0.272,0.297,0.296
2017-09-15,0.28,0.33,0.183,0.228,0.269,0.285
2017-09-14,-0.28,0.22,0.157,0.222,0.27,0.322
2017-09-13,0.7,0.25,0.197,0.222,0.28,0.324
2017-09-12,-0.14,0.34,0.213,0.254,0.277,0.322
2017-09-11,-0.28,0.3,0.173,0.254,0.274,0.311
2017-09-08,0.0,0.22,0.21,0.25,0.283,0.307
2017-09-07,-0.84,0.41,0.25,0.274,0.35,0.31
2017-09-06,0.28,0.34,0.207,0.256,0.334,0.294
2017-09-05,0.0,0.28,0.207,0.232,0.322,0.287
2017-09-04,-0.28,0.34,0.22,0.238,0.311,0.281
2017-09-01,-0.55,0.32,0.18,0.248,0.301,0.271
2017-08-31,0.14,0.22,0.177,0.362,0.296,0.263
2017-08-30,0.42,0.31,0.233,0.368,0.291,0.267
2017-08-29,-0.97,0.39,0.427,0.35,0.284,0.259
2017-08-28,2.11,0.89,0.38,0.306,0.263,0.245
2017-08-25,0.85,0.25,0.157,0.176,0.193,0.201
2017-08-24,-0.98,0.22,0.13,0.18,0.188,0.196
2017-08-23,0.42,0.17,0.137,0.17,0.194,0.203
2017-08-22,-0.56,0.24,0.17,0.184,0.197,0.21
2017-08-21,0.14,0.27,0.147,0.172,0.191,0.229
