date,p_change,TOR,TOR_3,TOR_5,TOR_10,TOR_15
2017-10-17,1.55,0.54,0.36,0.49,0.549,0.616
2017-10-16,-1.53,0.54,0.347,0.61,0.546,0.62
2017-10-13,-1.01,0.5,0.457,0.668,0.535,0.613
2017-10-12,0.32,0.87,0.67,0.652,0.567,0.599
2017-10-11,1.22,1.14,0.657,0.534,0.603,0.567
2017-10-10,1.96,0.83,0.417,0.38,0.565,0.521
2017-10-09,0.92,0.42,0.233,0.316,0.542,0.491
2017-09-29,0.2,0.28,0.217,0.318,0.543,0.512
2017-09-28,-0.92,0.37,0.293,0.426,0.544,0.532
2017-09-27,0.53,0.51,0.313,0.598,0.546,0.552
2017-09-26,-1.11,0.43,0.417,0.648,0.541,0.575
2017-09-25,-2.72,0.82,0.683,0.682,0.536,0.588
2017-09-22,2.27,1.23,0.663,0.604,0.527,0.579
2017-09-21,0.78,0.76,0.453,0.416,0.462,0.524
2017-09-20,0.53,0.6,0.343,0.342,0.453,0.511
2017-09-19,0.07,0.43,0.24,0.314,0.479,0.518
2017-09-18,0.46,0.29,0.227,0.304,0.498,0.545
2017-09-15,-0.98,0.39,0.283,0.392,0.537,0.558
2017-09-14,-1.03,0.46,0.28,0.43,0.539,0.581
2017-09-13,0.07,0.38,0.37,0.472,0.55,0.583
2017-09-12,0.58,0.73,0.437,0.568,0.582,0.613
2017-09-11,-0.13,0.58,0.417,0.546,0.593,0.613
2017-09-08,0.92,0.67,0.51,0.566,0.583,0.637
2017-09-07,1.06,0.86,0.493,0.514,0.59,0.729
2017-09-06,-1.44,0.62,0.433,0.456,0.552,0.754
2017-09-05,0.92,0.68,0.363,0.472,0.574,0.822
2017-09-04,-0.2,0.41,0.327,0.504,0.578,0.796
2017-09-01,0.07,0.57,0.423,0.518,0.631,0.802
2017-08-31,-1.17,0.7,0.513,0.552,0.78,0.792
2017-08-30,0.72,0.84,0.44,0.508,0.833,0.789
2017-08-29,-0.65,0.48,0.407,0.508,0.913,0.755
2017-08-28,1.39,0.74,0.407,0.556,0.894,0.746
2017-08-25,0.0,0.48,0.44,0.596,0.87,0.717
2017-08-24,1.07,0.84,0.52,0.912,0.864,0.706
2017-08-23,-2.15,0.72,0.553,0.99,0.846,0.689
2017-08-22,-0.84,0.94,1.0,1.174,0.806,0.668
2017-08-21,0.98,2.06,1.097,1.044,0.747,0.64
2017-08-18,1.79,1.23,0.957,0.732,0.571,0.537
2017-08-17,3.72,1.64,0.643,0.57,0.48,0.511
2017-08-16,-0.07,0.29,0.263,0.374,0.375,0.425
2017-08-15,0.9,0.5,0.307,0.38,0.386,0.44
2017-08-14,0.07,0.42,0.36,0.35,0.388,0.431
2017-08-11,0.63,0.66,0.327,0.326,0.398,0.435
2017-08-10,-1.11,0.32,0.223,0.258,0.416,0.427
2017-08-09,-0.89,0.35,0.217,0.312,0.418,0.444
2017-08-08,0.62,0.3,0.207,0.322,0.435,0.458
2017-08-07,0.77,0.32,0.303,0.366,0.442,0.478
2017-08-04,-1.44,0.59,0.33,0.406,0.457,0.507
2017-08-03,-1.02,0.4,0.307,0.456,0.452,0.565
2017-08-02,-1.06,0.52,0.347,0.444,0.47,0.599
2017-08-01,-0.07,0.52,0.453,0.444,0.474,0.615
2017-07-31,1.96,0.84,0.393,0.414,0.482,0.677
2017-07-28,-0.54,0.34,0.287,0.34,0.473,0.781
2017-07-27,1.71,0.52,0.297,0.38,0.586,0.861
2017-07-26,-0.2,0.37,0.28,0.392,0.625,0.876
2017-07-25,-1.15,0.47,0.337,0.43,0.663,0.934
2017-07-24,-0.14,0.54,0.373,0.456,0.762,0.949
2017-07-21,-0.34,0.58,0.38,0.498,0.947,0.999
2017-07-20,-0.6,0.56,0.387,0.676,1.044,1.027
2017-07-19,1.22,0.6,0.45,0.746,1.062,1.081
2017-07-18,-0.2,0.75,0.74,0.776,1.126,1.095
2017-07-17,-6.2,1.47,0.793,0.918,1.121,1.131
2017-07-14,-2.35,0.91,0.553,1.102,1.103,1.183
2017-07-13,0.25,0.75,0.737,1.23,1.111,1.199
2017-07-12,-2.0,1.46,1.283,1.228,1.174,1.204
2017-07-11,1.67,2.39,1.313,1.184,1.109,1.213
2017-07-10,2.92,1.55,0.763,0.846,0.998,1.124
2017-07-07,0.13,0.74,0.66,0.794,1.068,1.062
2017-07-06,-2.24,1.24,0.647,0.844,1.11,1.056
2017-07-05,-0.12,0.7,0.663,0.872,1.068,1.015
2017-07-04,-1.17,1.29,0.76,0.894,1.158,1.026
2017-07-03,0.31,0.99,0.79,0.892,1.134,1.036
2017-06-30,1.12,1.38,0.73,1.144,1.097,1.005
2017-06-29,0.69,0.81,0.697,1.1,1.024,0.979
2017-06-28,-2.15,1.28,1.177,1.102,1.006,1.051
2017-06-27,4.55,2.25,1.137,1.166,0.964,1.076
2017-06-26,1.43,1.16,0.66,0.926,0.883,1.011
2017-06-23,0.2,0.82,0.807,0.818,0.82,1.018
2017-06-22,0.13,1.6,0.883,0.784,0.837,1.065
2017-06-21,1.79,1.05,0.557,0.59,0.865,1.117
2017-06-20,-0.86,0.62,0.423,0.552,0.926,1.361
2017-06-19,1.27,0.65,0.427,0.716,0.991,1.345
2017-06-16,-0.33,0.63,0.497,0.692,1.053,1.333
2017-06-15,-0.53,0.86,0.767,0.764,1.143,1.329
2017-06-14,1.95,1.44,0.657,0.968,1.295,1.324
2017-06-13,0.2,0.53,0.507,1.012,1.621,1.277
2017-06-12,-2.82,0.99,0.957,1.16,1.607,1.263
2017-06-09,-0.46,1.88,1.18,1.216,1.554,1.221
2017-06-08,2.48,1.66,0.977,1.146,1.423,1.127
2017-06-07,1.91,1.27,0.847,1.29,1.336,1.042
2017-06-06,-2.46,1.27,0.933,1.976,1.283,1.007
2017-06-05,-0.73,1.53,1.303,1.8,1.187,0.985
2017-06-02,-2.89,2.38,2.36,1.586,1.071,0.913
2017-06-01,1.83,4.7,1.697,1.224,0.879,0.806
2017-05-31,9.99,0.39,0.283,0.442,0.448,0.536
2017-05-26,0.8,0.46,0.343,0.512,0.484,0.569
2017-05-25,2.37,0.57,0.453,0.482,0.531,0.618
2017-05-24,-1.53,0.79,0.51,0.442,0.52,0.639
2017-05-23,-5.19,0.74,0.35,0.376,0.518,0.652
2017-05-22,-0.14,0.31,0.227,0.306,0.509,0.7
2017-05-19,0.91,0.37,0.277,0.394,0.567,0.721
2017-05-18,-2.25,0.46,0.283,0.506,0.649,0.727
2017-05-17,-0.2,0.39,0.38,0.506,0.691,0.741
2017-05-16,1.03,0.75,0.56,0.582,0.751,0.744
2017-05-15,-3.96,0.93,0.463,0.562,0.822,0.725
2017-05-12,-1.11,0.46,0.41,0.554,0.791,0.71
2017-05-11,-2.11,0.77,0.473,0.7,0.791,0.717
2017-05-10,-3.28,0.65,0.513,0.722,0.782,0.725
2017-05-09,-0.06,0.89,0.693,0.79,0.76,0.745
2017-05-08,0.43,1.19,0.69,0.904,0.718,0.737
2017-05-05,-0.12,0.88,0.623,0.79,0.669,0.732
2017-05-04,-0.43,0.99,0.817,0.706,0.638,0.749
2017-05-03,4.58,1.46,0.693,0.644,0.628,0.751
2017-05-02,0.85,0.62,0.36,0.438,0.576,0.734
2017-04-28,-0.13,0.46,0.38,0.408,0.592,0.804
2017-04-27,-0.65,0.68,0.37,0.456,0.657,0.835
2017-04-26,1.37,0.43,0.3,0.434,0.703,0.885
2017-04-25,-0.59,0.47,0.39,0.526,0.761,0.921
2017-04-24,-0.58,0.7,0.423,0.62,0.835,0.956
2017-04-21,1.44,0.57,0.487,0.636,0.932,0.968
2017-04-20,-2.87,0.89,0.61,0.744,0.967,1.051
2017-04-19,-3.51,0.94,0.573,0.794,1.022,1.09
2017-04-18,0.37,0.78,0.63,0.808,1.025,1.123
2017-04-17,0.56,1.11,0.75,0.894,1.046,1.175
2017-04-14,0.88,1.14,0.717,1.006,1.023,1.191
2017-04-13,0.31,1.01,0.74,0.962,1.091,1.197
2017-04-12,0.95,1.21,0.96,1.048,1.137,1.267
2017-04-11,-1.93,1.67,0.863,1.0,1.159,1.263
2017-04-10,-1.47,0.92,0.787,0.864,1.148,1.232
2017-04-07,0.49,1.44,0.803,0.856,1.191,1.275
2017-04-06,-1.16,0.97,0.653,0.932,1.171,1.277
2017-04-05,1.67,0.99,0.623,1.032,1.28,1.301
2017-03-31,-0.18,0.88,0.9,1.12,1.296,1.345
2017-03-30,-4.31,1.82,1.097,1.256,1.328,1.419
2017-03-29,0.24,1.47,0.967,1.162,1.302,1.409
2017-03-28,-0.06,1.43,0.997,1.116,1.302,1.392
2017-03-27,1.08,1.56,0.97,1.242,1.293,1.471
2017-03-24,1.83,1.35,0.863,1.16,1.302,1.505
2017-03-23,-0.61,1.24,1.1,1.13,1.365,1.515
2017-03-22,-3.39,2.06,1.07,1.194,1.409,1.556
2017-03-21,0.59,1.15,0.783,1.076,1.324,1.718
2017-03-20,1.37,1.2,0.92,1.114,1.471,1.833
2017-03-17,-1.58,1.56,1.01,1.204,1.557,1.933
2017-03-16,1.67,1.47,0.937,1.288,1.551,2.089
2017-03-15,0.72,1.34,0.997,1.33,1.59,2.259
2017-03-14,-2.12,1.65,1.21,1.304,1.905,2.699
2017-03-13,-1.16,1.98,1.22,1.498,2.028,3.407
2017-03-10,-0.35,1.68,0.963,1.514,2.1,3.527
2017-03-09,0.23,1.21,1.277,1.478,2.321,3.681
2017-03-08,-2.55,2.62,1.56,1.608,2.603,3.674
2017-03-07,0.91,2.06,1.187,1.982,3.135,3.595
2017-03-06,0.4,1.5,1.12,2.146,4.156,3.604
2017-03-03,-0.51,1.86,2.117,2.386,4.384,3.567
2017-03-02,-4.94,4.49,2.457,2.792,4.596,3.501
2017-03-01,0.16,2.88,1.86,2.7,4.258,3.261
2017-02-28,-0.97,2.7,2.197,3.712,4.114,3.127
2017-02-27,1.31,3.89,2.64,5.626,4.063,2.995
2017-02-24,-1.4,4.03,3.99,5.604,3.768,2.8
2017-02-23,-7.19,7.94,6.737,5.594,3.452,2.577
2017-02-22,2.25,12.27,5.35,4.228,2.748,2.072
2017-02-21,9.99,3.78,2.587,2.062,1.607,1.294
2017-02-20,10.0,3.98,1.697,1.744,1.302,1.077
2017-02-17,0.81,1.11,0.85,1.136,1.0,0.857
2017-02-16,-0.19,1.44,1.21,1.088,0.957,0.851
2017-02-15,3.74,2.19,1.043,0.98,0.85,0.812
2017-02-14,1.17,0.94,0.603,0.714,0.691,0.762
2017-02-13,0.52,0.87,0.59,0.672,0.649,0.737
2017-02-10,-0.39,0.9,0.587,0.69,0.631,0.753
2017-02-09,-1.1,0.86,0.53,0.646,0.643,0.779
2017-02-08,-0.26,0.73,0.563,0.548,0.642,0.789
2017-02-07,0.65,0.96,0.547,0.522,0.713,0.801
2017-02-06,1.78,0.68,0.35,0.434,0.674,0.841
2017-02-03,0.07,0.37,0.323,0.436,0.717,0.956
2017-01-26,0.4,0.6,0.373,0.566,0.809,1.023
2017-01-25,0.0,0.52,0.403,0.616,0.85,1.187
