date,p_change,TOR,TOR_3,TOR_5,TOR_10,TOR_15
2017-10-17,0.2,0.14,0.097,0.102,0.119,0.187
2017-10-16,-0.59,0.15,0.083,0.104,0.123,0.193
2017-10-13,0.24,0.1,0.073,0.098,0.129,0.201
2017-10-12,-0.34,0.12,0.09,0.112,0.139,0.211
2017-10-11,-1.06,0.15,0.09,0.114,0.151,0.215
2017-10-10,-0.77,0.12,0.097,0.106,0.214,0.22
2017-10-09,0.34,0.17,0.1,0.118,0.225,0.218
2017-09-29,0.68,0.13,0.08,0.126,0.235,0.217
2017-09-28,0.44,0.11,0.097,0.14,0.248,0.222
2017-09-27,0.69,0.18,0.13,0.166,0.254,0.226
2017-09-26,0.29,0.21,0.137,0.286,0.259,0.224
2017-09-25,-0.29,0.2,0.147,0.29,0.247,0.221
2017-09-22,-0.58,0.24,0.34,0.304,0.243,0.223
2017-09-21,1.58,0.78,0.337,0.308,0.239,0.23
2017-04-20,0.45,0.23,0.167,0.186,0.178,0.201
2017-04-19,0.45,0.27,0.177,0.186,0.17,0.194
2017-04-18,-0.35,0.26,0.143,0.15,0.159,0.186
2017-04-17,-1.47,0.17,0.133,0.13,0.156,0.179
2017-04-14,1.89,0.23,0.107,0.136,0.174,0.178
2017-04-13,0.1,0.09,0.083,0.124,0.186,0.177
2017-04-12,-1.47,0.16,0.12,0.136,0.189,0.184
2017-04-11,0.3,0.2,0.123,0.136,0.188,0.186
2017-04-10,1.2,0.17,0.107,0.142,0.183,0.194
2017-04-07,-0.84,0.15,0.103,0.178,0.182,0.205
2017-04-06,-0.88,0.16,0.13,0.218,0.189,0.207
2017-04-05,-0.73,0.23,0.193,0.21,0.192,0.211
2017-03-31,2.65,0.35,0.233,0.194,0.188,0.207
2017-03-30,2.35,0.35,0.157,0.154,0.185,0.201
2017-03-29,-0.05,0.12,0.09,0.116,0.183,0.187
2017-03-28,0.26,0.15,0.1,0.136,0.19,0.202
2017-03-27,0.0,0.15,0.103,0.144,0.196,0.205
2017-03-24,0.67,0.16,0.127,0.152,0.199,0.206
2017-03-23,0.31,0.22,0.137,0.184,0.209,0.207
2017-03-22,-0.67,0.19,0.127,0.206,0.201,0.203
2017-03-21,-0.2,0.19,0.17,0.206,0.216,0.199
2017-03-20,-0.26,0.32,0.217,0.21,0.216,0.194
2017-03-17,-0.61,0.33,0.173,0.182,0.201,0.18
2017-03-16,0.05,0.19,0.133,0.168,0.185,0.165
2017-03-15,-0.05,0.21,0.13,0.158,0.183,0.159
2017-03-14,-0.46,0.18,0.147,0.184,0.174,0.151
2017-03-13,0.92,0.26,0.133,0.186,0.168,0.147
2017-03-10,-0.41,0.14,0.16,0.168,0.153,0.137
2017-03-09,-1.94,0.34,0.177,0.174,0.149,0.135
2017-03-08,-1.47,0.19,0.12,0.14,0.125,0.12
2017-03-07,-0.93,0.17,0.113,0.126,0.116,0.114
2017-03-06,0.15,0.17,0.113,0.116,0.111,0.109
2017-03-03,-1.39,0.17,0.097,0.104,0.104,0.105
2017-03-02,-0.57,0.12,0.08,0.09,0.098,0.099
2017-03-01,0.05,0.12,0.077,0.086,0.098,0.096
2017-02-28,-0.48,0.11,0.07,0.082,0.096,0.097
2017-02-27,0.05,0.1,0.067,0.084,0.095,0.095
2017-02-24,-0.1,0.1,0.067,0.084,0.095,0.094
2017-02-23,-0.43,0.1,0.073,0.086,0.094,0.093
2017-02-22,0.33,0.12,0.073,0.09,0.091,0.088
2017-02-21,0.33,0.1,0.07,0.086,0.093,0.08
2017-02-20,-0.85,0.11,0.077,0.086,0.09,0.076
2017-02-17,-0.7,0.12,0.073,0.084,0.088,0.072
2017-02-16,-0.98,0.1,0.067,0.078,0.084,0.066
2017-02-15,0.42,0.1,0.067,0.072,0.077,0.063
2017-02-14,-0.97,0.1,0.063,0.08,0.067,0.059
2017-02-13,0.46,0.09,0.053,0.074,0.061,0.055
2017-02-10,-0.05,0.07,0.07,0.074,0.057,0.053
2017-02-09,-1.28,0.14,0.07,0.076,0.053,0.053
2017-02-08,-0.77,0.07,0.053,0.054,0.044,0.053
2017-02-07,-0.32,0.09,0.057,0.04,0.041,0.052
2017-02-06,-0.63,0.08,0.037,0.03,0.036,0.051
2017-02-03,-0.49,0.03,0.01,0.024,0.034,0.049
2017-02-02,0.49,0.0,0.013,0.024,0.038,0.052
2017-01-26,0.32,0.04,0.03,0.034,0.052,0.058
2017-01-25,1.09,0.05,0.027,0.034,0.054,0.061
