date,p_change,TOR,TOR_3,TOR_5,TOR_10,TOR_15
2017-10-17,-1.84,1.08,0.697,1.042,1.285,1.275
2017-10-16,-2.52,1.01,0.827,1.198,1.301,1.335
2017-10-13,0.72,1.47,1.04,1.188,1.329,1.369
2017-10-12,-1.78,1.65,1.17,1.15,1.278,1.42
2017-10-11,1.26,1.86,0.94,1.058,1.254,1.461
2017-10-10,0.36,0.96,0.747,1.156,1.205,1.527
2017-10-09,0.0,1.28,0.823,1.212,1.308,1.591
2017-09-29,0.73,1.19,1.18,1.214,1.331,1.642
2017-09-28,0.37,2.35,1.197,1.168,1.436,1.768
2017-09-27,-1.26,1.24,0.843,0.98,1.428,1.945
2017-09-26,2.03,1.29,0.75,1.006,1.588,2.362
2017-09-25,-1.09,0.96,0.79,1.146,1.652,2.515
2017-09-22,-2.49,1.41,0.927,1.256,1.76,2.575
2017-09-21,-1.23,1.37,1.12,1.422,1.927,2.567
2017-09-20,-0.52,1.99,1.167,1.602,2.291,2.612
2017-09-19,-0.52,1.51,1.25,1.772,2.841,2.603
2017-09-18,-0.35,2.24,1.503,1.856,3.049,2.674
2017-09-15,1.4,2.27,1.703,1.816,3.01,2.707
2017-09-14,-0.52,2.84,1.59,1.978,2.913,2.795
2017-09-13,-1.88,1.93,1.323,2.412,2.833,2.901
2017-09-12,-1.18,2.04,1.707,3.524,2.825,3.051
2017-09-11,0.0,3.08,2.697,3.834,2.879,3.064
2017-09-08,2.6,5.01,4.167,3.588,2.844,3.031
2017-09-07,7.06,7.49,3.693,2.846,2.702,2.841
2017-09-06,3.46,3.59,1.813,1.756,2.396,2.547
2017-09-05,0.19,1.85,1.05,1.408,2.455,2.421
2017-09-04,-0.38,1.3,1.113,1.554,2.494,2.389
2017-09-01,0.0,2.04,1.297,1.84,2.623,2.358
2017-08-31,-1.14,1.85,1.477,2.15,2.634,2.321
2017-08-30,1.35,2.58,1.77,2.666,2.757,2.305
2017-08-29,-2.62,2.73,2.107,2.986,2.67,2.221
2017-08-28,-1.11,3.59,2.673,2.888,2.534,2.135
2017-08-25,4.25,4.43,2.87,2.688,2.258,2.013
2017-08-24,1.77,4.18,2.14,2.232,1.964,1.821
2017-08-23,-0.2,2.24,1.61,2.012,1.707,1.719
2017-08-22,2.2,2.59,1.58,1.906,1.614,1.701
2017-08-21,0.4,2.15,1.743,1.662,1.499,1.618
2017-08-18,2.47,3.08,1.597,1.398,1.461,1.6
2017-08-17,0.83,1.71,1.027,1.08,1.308,1.546
2017-08-16,0.63,1.37,0.733,1.06,1.401,1.614
2017-08-15,0.21,0.83,0.773,1.048,1.462,1.749
2017-08-14,0.42,1.49,1.033,1.17,1.513,1.917
2017-08-11,-2.46,1.61,0.973,1.226,1.552,2.079
2017-08-10,0.0,1.31,0.917,1.214,1.618,2.055
2017-08-09,-0.2,1.44,1.07,1.48,1.76,2.061
2017-08-08,-0.41,1.77,1.107,1.588,1.956,2.149
2017-08-07,-0.81,1.55,1.397,1.502,2.113,2.139
2017-08-04,0.41,2.64,1.54,1.568,2.35,2.068
2017-08-03,0.2,1.98,1.107,1.494,2.212,1.925
2017-08-02,-1.01,1.34,1.073,1.644,2.154,1.829
2017-08-01,0.0,1.88,1.383,2.056,2.295,1.771
2017-07-31,1.02,2.27,1.667,2.348,2.27,1.683
2017-07-28,0.82,2.73,2.043,2.678,2.091,1.568
2017-07-27,3.62,3.4,2.247,2.384,1.867,1.427
2017-07-26,-2.89,3.34,2.42,1.984,1.582,1.241
2017-07-25,-7.28,3.92,1.727,1.866,1.295,1.075
2017-07-20,1.56,1.26,0.887,1.408,0.959,0.853
2017-07-19,-0.77,1.4,1.383,1.252,0.887,0.79
2017-07-18,-4.07,2.75,1.46,1.07,0.809,0.734
2017-07-17,-9.4,1.63,0.703,0.63,0.595,0.585
2017-07-14,-0.83,0.48,0.323,0.398,0.516,0.505
2017-07-13,0.5,0.49,0.347,0.414,0.528,0.51
2017-07-12,-0.66,0.55,0.34,0.424,0.51,0.528
2017-07-11,-0.82,0.47,0.343,0.438,0.511,0.533
2017-07-10,-0.33,0.56,0.367,0.466,0.515,0.557
2017-07-07,0.49,0.54,0.387,0.522,0.502,0.551
2017-07-06,-1.14,0.62,0.41,0.534,0.504,0.547
2017-07-05,0.0,0.61,0.483,0.472,0.518,0.539
2017-07-04,0.82,0.84,0.48,0.462,0.52,0.562
2017-07-03,0.49,0.6,0.303,0.396,0.518,0.543
2017-06-30,-0.33,0.31,0.29,0.362,0.505,0.567
2017-06-29,-0.16,0.56,0.357,0.412,0.522,0.601
2017-06-28,0.33,0.51,0.313,0.452,0.516,0.629
2017-06-27,-0.66,0.43,0.33,0.476,0.561,0.664
2017-06-26,0.99,0.56,0.44,0.554,0.573,0.703
2017-06-23,0.17,0.76,0.463,0.536,0.613,0.729
2017-06-22,-1.47,0.63,0.483,0.48,0.619,0.736
2017-06-21,-0.65,0.82,0.43,0.454,0.654,0.748
2017-06-20,-0.64,0.47,0.317,0.482,0.676,0.787
2017-06-19,0.16,0.48,0.327,0.498,0.731,0.82
2017-06-16,-1.27,0.5,0.487,0.594,0.777,0.889
2017-06-15,1.95,0.96,0.503,0.658,0.814,0.941
2017-06-14,-1.12,0.55,0.503,0.662,0.799,0.969
2017-06-13,0.81,0.96,0.593,0.76,0.884,1.115
2017-06-12,-1.28,0.82,0.6,0.772,0.885,1.267
2017-06-09,0.97,0.98,0.673,0.796,0.954,1.491
2017-06-08,-1.9,1.04,0.687,0.774,0.984,1.588
2017-06-07,0.96,1.02,0.653,0.728,1.019,1.603
2017-06-06,1.29,0.94,0.603,0.804,1.19,1.594
2017-06-05,2.32,0.87,0.56,0.81,1.421,1.623
2017-06-02,-0.49,0.81,0.737,0.938,1.751,1.741
2017-06-01,-2.57,1.4,0.79,1.032,1.914,1.755
2017-05-31,-0.64,0.97,0.827,1.03,1.9,1.763
2017-05-26,-1.57,1.51,0.93,1.382,1.892,1.842
2017-05-25,0.0,1.28,0.89,1.73,1.878,1.861
2017-05-24,0.63,1.39,1.373,2.308,2.015,1.901
2017-05-23,-5.1,2.73,1.993,2.518,1.977,1.88
2017-05-22,-2.91,3.25,2.473,2.224,1.857,1.779
2017-05-19,6.35,4.17,2.203,1.752,1.747,1.639
2017-05-18,1.25,2.44,1.233,1.192,1.509,1.498
2017-05-17,-0.16,1.26,0.717,1.234,1.453,1.679
2017-05-16,0.47,0.89,0.753,1.184,1.435,1.912
2017-05-15,0.63,1.37,1.34,1.312,1.467,1.966
2017-05-12,1.28,2.65,1.22,1.468,1.445,1.942
2017-05-11,-0.64,1.01,0.847,1.296,1.386,1.797
2017-05-10,0.0,1.53,1.227,1.47,1.801,1.821
2017-05-09,5.37,2.15,1.313,1.38,2.123,1.808
