date,p_change,TOR,TOR_3,TOR_5,TOR_10,TOR_15
2017-10-17,-0.26,0.36,0.277,0.338,0.445,0.448
2017-10-16,-1.34,0.47,0.28,0.418,0.441,0.465
2017-10-13,0.59,0.37,0.287,0.448,0.446,0.468
2017-10-12,-1.0,0.49,0.417,0.476,0.449,0.475
2017-10-11,0.34,0.76,0.46,0.47,0.45,0.477
2017-10-10,0.84,0.62,0.377,0.4,0.427,0.476
2017-10-09,0.77,0.51,0.323,0.34,0.426,0.473
2017-09-29,1.47,0.46,0.29,0.342,0.427,0.519
2017-09-28,-1.02,0.41,0.243,0.33,0.428,0.585
2017-09-27,0.69,0.32,0.28,0.348,0.44,0.606
2017-09-26,-0.77,0.52,0.307,0.39,0.482,0.655
2017-09-25,-0.93,0.4,0.3,0.408,0.487,0.659
2017-09-22,0.0,0.5,0.343,0.432,0.567,0.685
2017-09-21,-0.84,0.53,0.38,0.426,0.663,0.702
2017-09-20,-0.17,0.61,0.377,0.426,0.682,0.736
2017-09-19,-0.08,0.52,0.33,0.452,0.727,0.83
2017-09-18,0.0,0.47,0.333,0.462,0.732,0.844
2017-09-15,-0.17,0.53,0.423,0.608,0.765,0.866
2017-09-14,0.34,0.74,0.437,0.794,0.787,0.915
2017-09-13,0.42,0.57,0.59,0.79,0.817,0.923
2017-09-12,-1.25,1.2,0.887,0.888,0.962,1.02
2017-09-11,-1.79,1.46,0.727,0.762,0.915,0.99
2017-09-08,0.0,0.72,0.593,0.63,0.849,0.975
2017-09-07,0.82,1.06,0.543,0.636,0.904,1.014
2017-09-06,-0.57,0.57,0.457,0.632,0.884,1.059
2017-09-05,0.41,0.8,0.517,0.922,1.029,1.107
2017-09-04,-0.08,0.75,0.597,0.908,1.024,1.117
2017-09-01,0.58,1.04,1.02,0.918,1.073,1.136
2017-08-31,-1.62,2.02,0.917,0.964,1.099,1.153
2017-08-30,-0.16,0.73,0.51,0.732,1.071,1.128
2017-08-29,-0.48,0.8,0.69,0.99,1.127,1.209
2017-08-28,0.81,1.27,0.71,0.98,1.141,1.267
2017-08-25,0.57,0.86,0.96,0.974,1.118,1.421
2017-08-24,-3.62,2.02,0.923,1.062,1.161,1.583
2017-08-23,-1.17,0.75,0.663,1.006,1.124,1.697
2017-08-22,-2.13,1.24,0.847,1.114,1.244,1.829
2017-08-21,-0.38,1.3,1.013,1.054,1.286,1.929
2017-08-18,1.0,1.74,1.01,1.002,1.514,1.965
2017-08-17,0.93,1.29,0.743,0.912,1.67,1.896
2017-08-16,0.62,0.94,0.66,0.984,1.913,1.845
2017-08-15,-0.85,1.04,0.777,1.186,2.092,1.85
2017-08-14,1.57,1.29,0.98,1.31,2.262,1.849
2017-08-11,-0.93,1.65,1.2,1.768,2.317,1.838
2017-08-10,-2.28,1.95,1.203,2.098,2.223,1.823
2017-08-09,-0.98,1.66,1.747,2.452,2.081,1.751
2017-08-08,-0.67,3.58,2.293,2.666,2.016,1.721
2017-08-07,4.53,3.3,2.34,2.498,1.761,1.603
2017-08-04,-0.62,3.72,2.15,2.206,1.543,1.443
2017-08-03,1.66,2.73,1.823,1.604,1.314,1.301
2017-08-02,1.77,2.74,1.527,1.164,1.128,1.16
2017-08-01,1.8,1.84,0.85,0.818,0.974,1.023
2017-07-31,0.82,0.71,0.413,0.656,0.972,0.98
2017-07-28,-0.49,0.53,0.513,0.738,0.99,0.992
2017-07-27,0.91,1.01,0.68,0.918,1.097,1.015
2017-07-26,-1.15,1.03,0.717,0.89,1.057,1.018
2017-07-25,-1.53,1.12,0.85,0.924,1.023,1.042
2017-07-24,1.8,1.43,0.767,1.064,1.03,1.021
2017-07-21,0.08,0.87,0.69,0.956,0.976,0.969
2017-07-20,-0.41,1.2,1.007,1.102,0.976,0.963
2017-07-19,4.17,1.82,0.903,0.984,0.962,0.932
2017-07-18,2.0,0.89,0.83,0.758,0.919,0.859
2017-07-17,-5.57,1.6,0.737,0.818,0.911,0.879
2017-07-14,-0.08,0.61,0.433,0.676,0.815,0.832
2017-07-13,-0.08,0.69,0.627,0.728,0.833,0.855
2017-07-12,-1.05,1.19,0.693,0.802,0.837,0.91
2017-07-11,-1.44,0.89,0.587,0.842,0.79,0.957
2017-07-10,0.0,0.87,0.643,0.826,0.821,0.973
2017-07-07,-1.26,1.06,0.817,0.78,0.823,1.019
2017-07-06,0.79,1.39,0.733,0.726,0.812,1.017
2017-07-05,0.24,0.81,0.483,0.594,0.825,1.007
2017-07-04,-0.63,0.64,0.477,0.576,0.934,1.061
