date,p_change,TOR,TOR_3,TOR_5,TOR_10,TOR_15
2017-10-17,-3.04,4.47,2.943,3.174,4.879,4.677
2017-10-16,-1.97,4.36,2.387,3.938,4.764,4.669
2017-10-13,-1.5,2.8,2.347,4.334,4.778,4.653
2017-10-12,0.66,4.24,4.177,5.75,5.046,4.706
2017-10-11,-3.49,8.29,4.877,5.632,5.009,4.954
2017-10-10,0.54,6.34,5.407,4.926,4.599,4.755
2017-10-09,9.05,9.88,4.51,4.322,4.401,4.666
2017-09-29,1.1,3.65,2.803,3.246,3.824,4.569
2017-09-28,-0.98,4.76,2.693,3.612,3.819,4.804
2017-09-27,-0.97,3.32,2.607,3.434,4.139,4.883
2017-09-26,-1.6,4.5,3.327,3.608,4.337,5.377
2017-09-25,2.58,5.48,3.117,3.58,4.388,5.833
2017-09-22,0.83,3.87,2.687,3.306,4.682,5.914
2017-09-21,-1.97,4.19,2.85,3.252,5.013,6.438
2017-09-20,2.01,4.36,2.823,4.006,5.188,7.043
2017-09-19,0.24,4.11,2.57,4.194,5.825,7.274
2017-09-18,0.88,3.6,3.853,4.374,6.548,7.421
2017-09-15,-7.75,7.96,4.42,5.338,6.858,7.871
2017-09-14,0.29,5.3,3.437,5.182,7.235,8.603
2017-09-13,-1.34,5.01,4.477,5.31,8.032,8.919
2017-09-12,-1.68,8.42,5.2,6.454,8.313,9.209
2017-09-11,2.57,7.18,4.373,7.038,8.102,9.253
2017-09-08,0.85,5.94,5.557,6.942,8.42,9.708
2017-09-07,-5.52,10.73,7.357,8.1,9.719,10.216
2017-09-06,7.55,11.34,6.013,8.608,9.651,10.463
2017-09-05,-1.41,6.7,6.143,7.904,9.453,10.211
2017-09-04,-1.89,11.73,8.333,7.826,9.691,10.202
2017-09-01,7.42,13.27,7.03,7.552,9.918,9.807
2017-08-31,1.51,7.82,4.71,8.684,9.947,9.371
2017-08-30,0.52,6.31,5.557,9.13,10.608,8.997
2017-08-29,-3.98,10.36,9.763,9.74,10.734,8.685
2017-08-28,4.31,18.93,9.66,9.484,10.354,8.112
2017-08-25,0.6,10.05,6.47,8.498,9.041,7.039
2017-08-24,-2.66,9.36,6.147,9.2,8.709,6.444
2017-08-23,-2.99,9.08,7.693,10.214,7.995,5.949
2017-08-22,-0.68,14.0,9.187,9.912,7.249,5.433
2017-08-21,10.02,13.56,9.33,8.424,6.026,4.611
2017-08-18,4.59,14.43,7.333,6.872,4.953,3.817
2017-08-17,10.01,7.57,4.71,5.332,3.623,3.086
2017-08-16,2.59,6.56,4.12,4.262,3.06,2.657
2017-08-15,1.19,5.8,4.177,3.274,2.537,2.391
2017-08-14,10.01,6.73,2.983,2.468,2.125,2.071
2017-08-11,-4.22,2.22,1.28,1.688,1.616,1.702
2017-08-10,-1.08,1.62,1.13,1.47,1.741,1.611
2017-08-09,-1.17,1.77,1.533,1.534,1.692,1.555
2017-08-08,3.53,2.83,1.32,1.446,1.772,1.519
2017-08-07,-0.47,1.13,1.023,1.216,1.59,1.417
2017-08-04,0.21,1.94,1.09,1.318,1.596,1.413
2017-08-03,0.74,1.33,1.003,1.624,1.488,1.401
2017-08-02,-2.08,1.68,1.107,1.584,1.432,1.361
2017-08-01,0.16,1.64,1.703,1.762,1.387,1.308
2017-07-31,4.96,3.47,1.533,1.636,1.354,1.284
2017-07-28,-1.29,1.13,1.233,1.18,1.114,1.189
2017-07-27,5.03,2.57,1.193,1.126,1.176,1.194
2017-07-26,-2.27,1.01,0.733,0.766,0.993,1.119
2017-07-25,0.89,1.19,0.683,0.81,0.98,1.195
2017-07-24,0.79,0.86,0.543,0.834,0.989,1.227
2017-07-21,-0.06,0.77,0.667,0.876,1.108,1.31
2017-07-20,0.11,1.23,0.847,1.072,1.151,1.366
2017-07-19,1.25,1.31,0.793,0.974,1.173,1.397
2017-07-18,0.34,1.07,0.94,0.888,1.256,1.581
2017-07-17,-6.32,1.75,0.83,0.93,1.316,1.587
2017-07-14,0.54,0.74,0.54,0.99,1.352,1.574
2017-07-13,0.32,0.88,0.72,1.082,1.439,1.689
2017-07-12,0.11,1.28,1.11,1.196,1.52,1.749
2017-07-11,-3.85,2.05,1.083,1.368,1.799,1.803
2017-07-10,0.52,1.2,0.883,1.292,1.71,1.749
2017-07-07,-0.05,1.45,1.197,1.474,1.746,1.801
2017-07-06,-2.99,2.14,1.27,1.506,1.847,1.783
2017-07-05,1.23,1.67,1.26,1.416,1.811,1.693
2017-07-04,-1.01,2.11,1.24,1.896,1.853,1.679
2017-07-03,-0.3,1.61,1.1,1.706,1.766,1.606
2017-06-30,-0.4,1.69,1.92,1.696,1.803,1.602
2017-06-29,5.31,4.07,1.743,1.85,1.752,1.543
2017-06-28,-1.41,1.16,0.907,1.392,1.425,1.352
2017-06-27,-0.88,1.56,1.34,1.578,1.454,1.403
2017-06-26,2.88,2.46,1.413,1.514,1.4,1.413
2017-06-23,1.79,1.78,1.29,1.418,1.309,1.283
2017-06-22,0.27,2.09,1.11,1.298,1.211,1.21
2017-06-21,-1.29,1.24,1.073,1.04,1.123,1.133
2017-06-20,1.64,1.98,1.053,1.082,1.192,1.105
2017-06-19,0.88,1.18,0.66,0.89,1.165,1.015
2017-06-16,-0.17,0.8,0.75,0.964,1.097,0.993
2017-06-15,1.62,1.45,0.823,0.964,1.086,1.004
2017-06-14,-1.54,1.02,0.857,0.916,1.035,0.974
2017-06-13,2.6,1.55,0.783,1.098,1.015,0.982
2017-06-12,-0.9,0.8,0.67,1.13,0.922,0.929
2017-06-09,-0.89,1.21,1.047,1.07,0.927,0.937
2017-06-08,3.14,1.93,1.213,0.966,0.903,0.907
2017-06-07,3.61,1.71,0.737,0.768,0.81,0.853
2017-06-06,0.59,0.5,0.397,0.59,0.753,0.832
2017-06-05,0.48,0.69,0.543,0.614,0.779,0.838
2017-06-02,1.03,0.94,0.587,0.646,0.801,0.835
2017-06-01,-2.7,0.82,0.48,0.652,0.784,0.85
2017-05-31,0.06,0.62,0.49,0.688,0.813,0.888
2017-05-26,-0.29,0.85,0.607,0.792,0.891,0.896
2017-05-25,0.53,0.97,0.657,0.774,0.865,0.893
2017-05-24,1.98,1.0,0.713,0.762,0.833,0.911
2017-05-23,-3.65,1.14,0.633,0.716,0.849,0.916
2017-05-22,-1.65,0.76,0.557,0.71,0.874,0.892
2017-05-19,-1.85,0.91,0.56,0.838,0.872,0.919
2017-05-18,-0.56,0.77,0.627,0.774,0.862,0.961
2017-05-17,-0.22,1.11,0.837,0.75,0.909,1.017
2017-05-16,3.15,1.4,0.663,0.76,0.905,0.989
2017-05-15,0.0,0.59,0.413,0.758,0.843,0.958
2017-05-12,-1.58,0.65,0.603,0.788,0.9,0.979
2017-05-11,1.49,1.16,0.85,0.82,0.989,0.981
2017-05-10,-4.27,1.39,0.71,0.836,1.035,0.985
2017-05-09,1.05,0.74,0.517,0.772,0.964,0.994
2017-05-08,-0.99,0.81,0.683,0.78,0.984,1.027
2017-05-05,-3.74,1.24,0.77,0.85,0.993,1.073
2017-05-04,-0.21,1.07,0.617,0.91,0.938,1.083
2017-05-03,-0.73,0.78,0.647,1.02,0.952,1.094
2017-05-02,-0.93,1.16,0.9,1.0,1.027,1.164
2017-04-28,2.6,1.54,1.053,0.956,1.034,1.312
2017-04-27,1.67,1.62,0.767,0.828,1.031,1.352
