date,p_change,TOR,TOR_3,TOR_5,TOR_10,TOR_15
2017-10-17,1.27,0.27,0.147,0.15,0.198,0.283
2017-10-16,-0.5,0.17,0.103,0.128,0.238,0.28
2017-10-13,0.76,0.14,0.103,0.134,0.247,0.285
2017-10-12,-0.38,0.17,0.11,0.152,0.273,0.287
2017-10-11,-0.5,0.16,0.12,0.174,0.296,0.291
2017-10-10,-0.5,0.2,0.143,0.214,0.334,0.295
2017-10-09,-0.37,0.23,0.17,0.308,0.336,0.299
2017-09-29,-1.35,0.28,0.213,0.314,0.338,0.315
2017-09-28,-0.12,0.36,0.343,0.338,0.326,0.314
2017-09-27,1.24,0.67,0.31,0.346,0.313,0.314
2017-09-26,-0.25,0.26,0.22,0.32,0.268,0.3
2017-09-25,0.75,0.4,0.267,0.312,0.269,0.3
2017-09-22,0.25,0.4,0.313,0.282,0.276,0.293
2017-09-21,1.53,0.54,0.253,0.234,0.262,0.295
2017-09-20,0.9,0.22,0.157,0.172,0.244,0.309
2017-09-19,-1.02,0.25,0.137,0.172,0.268,0.363
2017-09-18,-0.38,0.16,0.13,0.176,0.269,0.358
2017-09-15,0.25,0.23,0.15,0.238,0.283,0.356
2017-09-14,-0.88,0.22,0.163,0.244,0.303,0.352
2017-09-13,-1.12,0.27,0.247,0.272,0.356,0.345
2017-09-12,-0.25,0.47,0.243,0.31,0.431,0.34
2017-09-11,0.5,0.26,0.207,0.268,0.402,0.324
2017-09-08,-0.5,0.36,0.273,0.276,0.389,0.334
2017-09-07,0.62,0.46,0.24,0.29,0.37,0.322
2017-09-06,0.38,0.26,0.187,0.348,0.336,0.303
2017-09-05,-1.48,0.3,0.243,0.5,0.329,0.294
2017-09-04,-0.12,0.43,0.393,0.476,0.322,0.284
2017-09-01,-2.05,0.75,0.59,0.416,0.32,0.265
2017-08-31,7.95,1.02,0.4,0.3,0.263,0.227
2017-08-30,0.39,0.18,0.103,0.12,0.178,0.178
2017-08-29,0.0,0.13,0.1,0.122,0.173,0.184
2017-08-28,0.53,0.17,0.097,0.142,0.175,0.185
2017-08-25,0.66,0.12,0.103,0.19,0.172,0.182
2017-08-24,-2.2,0.19,0.14,0.202,0.178,0.182
2017-08-23,-1.66,0.23,0.213,0.198,0.188,0.183
2017-08-22,2.48,0.41,0.197,0.178,0.192,0.182
2017-08-21,0.92,0.18,0.117,0.126,0.165,0.165
2017-08-18,0.13,0.17,0.1,0.118,0.16,0.165
2017-08-17,0.66,0.13,0.093,0.12,0.155,0.169
2017-08-16,-1.44,0.15,0.097,0.152,0.163,0.177
2017-08-15,-0.65,0.14,0.107,0.176,0.169,0.189
2017-08-14,0.26,0.18,0.157,0.176,0.171,0.207
2017-08-11,0.52,0.29,0.187,0.166,0.171,0.214
2017-08-10,1.06,0.27,0.137,0.132,0.165,0.215
2017-08-09,-1.18,0.14,0.09,0.12,0.163,0.234
2017-08-08,0.26,0.13,0.083,0.134,0.182,0.242
2017-08-07,-0.26,0.12,0.11,0.14,0.209,0.255
2017-08-04,1.33,0.21,0.14,0.152,0.226,0.259
2017-08-03,-1.82,0.21,0.123,0.156,0.236,0.277
2017-08-02,-0.9,0.16,0.113,0.164,0.27,0.283
2017-08-01,0.39,0.18,0.137,0.198,0.28,0.29
2017-07-31,-0.64,0.23,0.16,0.242,0.295,0.305
2017-07-28,-2.26,0.25,0.193,0.254,0.289,0.315
2017-07-27,-0.5,0.33,0.243,0.266,0.312,0.341
2017-07-26,0.5,0.4,0.23,0.31,0.31,0.34
2017-07-25,-0.25,0.29,0.2,0.282,0.296,0.347
2017-07-24,-0.87,0.31,0.287,0.29,0.307,0.356
2017-07-21,3.34,0.55,0.27,0.262,0.315,0.374
2017-07-20,-0.64,0.26,0.197,0.248,0.323,0.399
2017-07-19,3.03,0.33,0.167,0.258,0.329,0.443
2017-07-18,0.26,0.17,0.217,0.244,0.346,0.459
2017-07-17,-3.81,0.48,0.263,0.29,0.372,0.459
2017-07-14,0.38,0.31,0.19,0.272,0.382,0.445
2017-07-13,-1.38,0.26,0.22,0.336,0.443,0.456
2017-07-12,1.4,0.4,0.263,0.348,0.51,0.449
2017-07-11,-2.0,0.39,0.34,0.368,0.526,0.432
2017-07-10,3.09,0.63,0.317,0.376,0.505,0.42
2017-07-07,0.39,0.32,0.273,0.366,0.468,0.407
2017-07-06,-1.9,0.5,0.31,0.486,0.484,0.399
2017-07-05,-0.5,0.43,0.337,0.572,0.45,0.381
2017-07-04,0.51,0.58,0.5,0.598,0.421,0.363
2017-07-03,4.23,0.92,0.617,0.518,0.384,0.333
2017-06-21,4.27,0.93,0.497,0.386,0.336,0.285
2017-06-20,4.16,0.56,0.247,0.296,0.263,0.239
2017-06-19,0.14,0.18,0.147,0.216,0.23,0.213
2017-06-16,-1.14,0.26,0.247,0.208,0.227,0.217
2017-06-15,3.83,0.48,0.213,0.198,0.214,0.211
2017-06-14,-0.29,0.16,0.1,0.19,0.186,0.191
2017-06-13,0.44,0.14,0.117,0.198,0.194,0.206
2017-06-12,-0.59,0.21,0.217,0.216,0.197,0.207
2017-06-09,1.79,0.44,0.213,0.204,0.2,0.203
2017-06-08,-0.89,0.2,0.143,0.142,0.174,0.183
2017-06-07,1.35,0.23,0.127,0.142,0.172,0.182
2017-06-06,0.0,0.15,0.093,0.144,0.187,0.181
2017-06-05,0.45,0.13,0.11,0.148,0.188,0.186
2017-06-02,-1.04,0.2,0.147,0.17,0.189,0.196
2017-06-01,-1.61,0.24,0.137,0.166,0.183,0.208
