date,p_change,TOR,TOR_3,TOR_5,TOR_10,TOR_15
2017-10-17,-2.6,1.78,1.88,1.376,0.989,0.883
2017-10-16,4.17,3.86,1.527,1.158,0.86,0.804
2017-10-13,1.14,0.72,0.413,0.512,0.552,0.603
2017-10-12,-0.11,0.52,0.403,0.47,0.557,0.598
2017-10-11,-0.23,0.69,0.44,0.49,0.56,0.605
2017-10-10,0.69,0.63,0.38,0.464,0.567,0.609
2017-10-09,0.57,0.51,0.377,0.436,0.564,0.607
2017-09-29,2.47,0.62,0.393,0.49,0.598,0.649
2017-09-28,-1.16,0.56,0.35,0.52,0.6,0.668
2017-09-27,0.7,0.49,0.423,0.518,0.606,0.746
2017-09-26,-1.39,0.78,0.517,0.572,0.633,0.758
2017-09-25,-1.93,0.77,0.44,0.536,0.615,0.753
2017-09-22,0.0,0.55,0.437,0.552,0.652,0.77
2017-09-21,0.11,0.76,0.453,0.57,0.687,0.776
2017-09-20,0.0,0.6,0.483,0.542,0.784,0.757
2017-09-19,-0.11,0.85,0.497,0.574,0.791,0.755
2017-09-18,0.69,0.64,0.42,0.524,0.777,0.743
2017-09-15,0.23,0.62,0.46,0.624,0.815,0.75
2017-09-14,-1.13,0.76,0.453,0.68,0.817,0.759
2017-09-13,0.46,0.6,0.58,0.874,0.789,0.751
2017-09-12,-1.79,1.14,0.68,0.888,0.785,0.772
2017-09-11,1.01,0.9,0.877,0.802,0.738,0.751
2017-09-08,-2.53,1.73,0.8,0.826,0.723,0.782
2017-09-07,-1.19,0.67,0.46,0.608,0.626,0.777
2017-09-06,-0.43,0.71,0.577,0.57,0.623,0.983
2017-09-05,1.2,1.02,0.553,0.54,0.643,1.18
2017-09-04,-0.54,0.64,0.373,0.47,0.623,1.192
2017-09-01,0.66,0.48,0.347,0.492,0.696,1.268
2017-08-31,0.11,0.56,0.41,0.548,0.814,1.3
2017-08-30,-0.98,0.67,0.473,0.564,1.134,1.321
2017-08-29,-0.33,0.75,0.503,0.612,1.433,1.351
2017-08-28,0.98,0.76,0.467,0.626,1.478,1.359
2017-08-25,0.33,0.64,0.517,0.748,1.58,1.37
2017-08-24,0.44,0.91,0.577,0.952,1.612,1.393
2017-08-23,-1.41,0.82,0.73,1.522,1.609,1.399
2017-08-22,-1.18,1.37,1.01,2.09,1.638,1.426
2017-08-21,0.0,1.66,1.807,2.056,1.588,1.383
2017-08-18,2.87,3.76,2.473,2.08,1.515,1.334
2017-08-17,4.26,3.66,1.62,1.52,1.237,1.135
2017-08-09,0.58,1.2,0.993,0.964,0.971,0.947
2017-08-08,2.73,1.78,0.913,0.946,0.974,0.937
2017-08-07,-0.12,0.96,0.613,0.764,0.868,0.897
2017-08-04,-0.24,0.88,0.663,0.758,0.865,0.922
2017-08-03,1.93,1.11,0.66,0.778,0.855,1.003
2017-08-02,-1.43,0.87,0.6,0.756,0.827,1.001
2017-08-01,0.12,0.93,0.637,0.828,0.846,1.028
2017-07-31,0.48,0.98,0.66,0.786,0.87,1.171
2017-07-28,-0.36,1.0,0.743,0.776,0.906,1.233
2017-07-27,2.44,1.23,0.65,0.732,1.015,1.294
2017-07-26,-0.36,0.72,0.55,0.652,1.0,1.371
2017-07-25,-1.08,0.93,0.57,0.72,1.056,1.588
2017-07-24,0.97,0.78,0.537,0.768,1.27,1.753
2017-07-21,-0.36,0.83,0.63,0.88,1.383,1.913
2017-07-20,0.24,1.06,0.743,1.132,1.492,2.338
2017-07-19,0.73,1.17,0.837,1.136,1.625,2.88
2017-07-18,1.62,1.34,1.143,1.158,1.905,3.475
2017-07-17,-8.95,2.09,1.057,1.504,2.111,3.991
2017-07-14,-2.0,1.08,0.787,1.468,2.22,4.374
2017-07-13,0.0,1.28,1.45,1.636,2.833,5.065
2017-07-12,-3.53,3.07,1.66,1.858,3.624,5.8
2017-07-11,-3.21,1.91,1.277,2.038,4.326,6.469
2017-07-10,0.84,1.92,1.437,2.336,5.043,6.885
2017-07-07,0.1,2.39,2.12,2.588,5.635,6.797
2017-07-06,-3.73,3.97,2.457,3.552,6.54,6.673
2017-07-05,-0.3,3.4,2.193,4.596,7.374,6.454
2017-07-04,-0.99,3.18,3.463,5.934,8.344,6.284
2017-07-03,-3.55,7.21,5.467,7.114,8.842,6.152
